validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;764
internalRemoveChild; AttrImpl.java; org.apache.xerces.dom;134
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;134
resolveSchemaGrammar; XMLValidator.java; org.apache.xerces.validators.common;133
checkContentEnum; ListDatatypeValidator.java; org.apache.xerces.validators.datatype;130
traverseImport; TraverseSchema.java; org.apache.xerces.validators.schema;130
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;129
openRedefinedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;128
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
handleOccurrences; TraverseSchema.java; org.apache.xerces.validators.schema;125
traverseInclude; TraverseSchema.java; org.apache.xerces.validators.schema;124
checkSubstitutionGroupOK; TraverseSchema.java; org.apache.xerces.validators.schema;123
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
parse; DurationDatatypeValidator.java; org.apache.xerces.validators.datatype;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
traverseIncludedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;119
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;119
startElement; HTMLSerializer.java; org.apache.xml.serialize;118
whatCanGoHere; AllContentModel.java; org.apache.xerces.validators.common;118
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
createChildren; DOMParser.java; org.apache.xerces.parsers;115
setFeature; DOMParser.java; org.apache.xerces.parsers;114
traverseAttributeGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;114
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
validateContent; AllContentModel.java; org.apache.xerces.validators.common;112
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common;112
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
compareBoundaryPoints; RangeImpl.java; org.apache.xerces.dom;112
validateContentSpecial; AllContentModel.java; org.apache.xerces.validators.common;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;112
validateContentSpecial; DFAContentModel.java; org.apache.xerces.validators.common;110
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
traverseContents; RangeImpl.java; org.apache.xerces.dom;108
scanQName; UTF8Reader.java; org.apache.xerces.readers;107
