traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;579
toString; XMLContentSpec.java; org.apache.xerces.framework;165
startElement; HTMLSerializer.java; org.apache.xml.serialize;164
traverseComplexTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;164
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
getFeature; XMLParser.java; org.apache.xerces.framework;156
createChildren; DOMParser.java; org.apache.xerces.parsers;154
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;151
startElement; DOMParser.java; org.apache.xerces.parsers;150
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;148
internalRemoveChild; ParentNode.java; org.apache.xerces.dom;148
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;148
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;146
scanContent; StringReader.java; org.apache.xerces.readers;145
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;144
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;143
DecimalDatatypeValidator; DecimalDatatypeValidator.java; org.apache.xerces.validators.datatype;141
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;139
startElement; XPathMatcher.java; org.apache.xerces.validators.schema.identity;138
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
startElement; XMLSerializer.java; org.apache.xml.serialize;137
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;135
traverseComplexContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;135
processAttributes; TraverseSchema.java; org.apache.xerces.validators.schema;134
internalRemoveChild; AttrImpl.java; org.apache.xerces.dom;134
callStartElement; XMLValidator.java; org.apache.xerces.validators.common;133
checkContentEnum; ListDatatypeValidator.java; org.apache.xerces.validators.datatype;132
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;131
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;129
checkForFacetConsistency; DecimalDatatypeValidator.java; org.apache.xerces.validators.datatype;126
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
FloatDatatypeValidator; FloatDatatypeValidator.java; org.apache.xerces.validators.datatype;123
TimeDurationDatatypeValidator; TimeDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;123
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
expandContentModel; TraverseSchema.java; org.apache.xerces.validators.schema;117
traverseGroupDeclFromAnotherSchema; TraverseSchema.java; org.apache.xerces.validators.schema;117
createChildren; DOMParser.java; org.apache.xerces.parsers;115
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
setFeature; DOMParser.java; org.apache.xerces.parsers;114
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
traverseAll; TraverseSchema.java; org.apache.xerces.validators.schema;113
validateContentSpecial; DFAContentModel.java; org.apache.xerces.validators.common;113
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
startElement; HTMLSerializer.java; org.apache.xml.serialize;113
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
compareBoundaryPoints; RangeImpl.java; org.apache.xerces.dom;112
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;110
traverseContents; RangeImpl.java; org.apache.xerces.dom;108
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
DoubleDatatypeValidator; DoubleDatatypeValidator.java; org.apache.xerces.validators.datatype;108
scanQName; UTF8Reader.java; org.apache.xerces.readers;107
