genFileSinkPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;381
updateAggregations; GroupByOperator.java; org.apache.hadoop.hive.ql.exec;128
showJobFailDebugInfo; HadoopJobExecHelper.java; org.apache.hadoop.hive.ql.exec;127
execute; MapredLocalTask.java; org.apache.hadoop.hive.ql.exec;127
serialize; LazySimpleSerDe.java; org.apache.hadoop.hive.serde2.lazy;126
run; CliDriver.java; org.apache.hadoop.hive.cli;124
compareTypes; ObjectInspectorUtils.java; org.apache.hadoop.hive.serde2.objectinspector;124
genGroupByPlanGroupByOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;123
genUnionPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;122
processFS; GenMRFileSink1.java; org.apache.hadoop.hive.ql.optimizer;122
writeFileSystemStats; DDLTask.java; org.apache.hadoop.hive.ql.exec;121
processCmd; CliDriver.java; org.apache.hadoop.hive.cli;121
pruneJoinOperator; ColumnPrunerProcFactory.java; org.apache.hadoop.hive.ql.optimizer;119
genConversionSelectOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;118
genGroupByPlanMapGroupByOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;117
processOp; ReduceSinkOperator.java; org.apache.hadoop.hive.ql.exec;116
processOp; ScriptOperator.java; org.apache.hadoop.hive.ql.exec;115
createCommonReduceSink1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;115
initializeOp; CommonJoinOperator.java; org.apache.hadoop.hive.ql.exec;112
genReduceSinkPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;111
genMapJoinLocalWork; MapJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer;111
getPartSchemaFromTableSchema; MetaStoreUtils.java; org.apache.hadoop.hive.metastore;110
