Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\TaskContainer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,41,,,,2,,,,4,,,3,0,35,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,8.75,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\TypeAdapter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,66,,,,7,,,,8,,,7,0,51,,,,,,,6,7,7,,,0,,,,,,,,0,0,0,0,,,0,,,,6.38,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\UnknownElement.java",2,2,2,1,19,0,11,7,,,,,1,1,0,31,,31,30,6,31,,0,2,10,19,,688,,,,54,,,,372,,,94,233,263,,,,,,,168,252,84,,,168,,,,,,,,14,14,15,13,,,5,,,,0.71,88,88,90,45
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\UnsupportedAttributeException.java",1,1,1,1,8,0,3,5,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,48,,,,5,,,,11,,,5,3,32,,,,,,,5,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,2.91,2,2,2,2
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\UnsupportedElementException.java",1,1,1,1,8,0,3,5,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,56,,,,4,,,,11,,,5,3,41,,,,,,,5,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,3.73,2,2,2,2
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\XmlLogger.java",2,2,2,1,19,0,12,6,,,,,2,1,11,17,,17,16,9,17,,0,4,0,13,,470,,,,46,,,,261,,,97,171,163,,,,,,,152,200,98,,,102,,,,,,,,9,7,11,5,,,3,,,,0.62,48,46,50,21
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\antlib.xml",0,0,0,0,144,6,103,35,,,,,0,,,0,,0,,,,,,,,,,144,0,0,0,6,0,0,0,103,0,0,,,35,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.34,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\dispatch\DispatchTask.java",1,1,1,1,7,0,3,4,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,59,,,,5,,,,14,,,7,3,40,,,,,,,6,10,7,,,3,,,,,,,,1,1,1,1,,,0,,,,2.86,3,3,3,3
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\dispatch\DispatchUtils.java",19,19,23,1,92,0,87,5,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,124,,,,3,,,,95,,,21,70,26,,,,,,,40,58,21,,,37,,,,,,,,19,19,23,1,,,8,,,,0.27,19,19,23,1
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\dispatch\Dispatchable.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,,,,1,,,,4,,,3,0,26,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,6.50,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\BaseFilterReader.java",1,1,1,1,14,0,6,8,,,,,1,0,1,10,,10,10,2,10,,0,0,5,5,,198,,,,18,,,,76,,,26,36,104,,,,,,,37,57,26,,,31,,,,,,,,4,4,4,4,,,3,,,,1.37,19,19,19,18
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\BaseParamFilterReader.java",1,1,1,1,9,0,3,5,,,,,1,0,0,4,,4,4,1,4,,0,0,1,3,,73,,,,6,,,,22,,,12,5,45,,,,,,,10,15,10,,,5,,,,,,,,1,1,1,1,,,0,,,,2.05,4,4,4,4
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\ChainableReader.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,37,,,,2,,,,5,,,4,0,30,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,6.00,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\ClassConstants.java",4,4,4,3,26,0,16,8,,,,,1,0,1,4,,4,4,1,4,,0,0,0,4,,164,,,,10,,,,80,,,32,45,74,,,,,,,36,50,24,,,26,,,,,,,,13,13,15,9,,,5,,,,0.93,16,16,18,12
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\ConcatFilter.java",2,2,2,1,16,0,8,7,,,,,1,0,0,9,,9,9,4,9,,0,1,0,8,,215,,,,18,,,,92,,,25,47,105,,,,,,,43,68,25,,,43,,,,,,,,9,9,9,5,,,3,,,,1.14,24,24,24,13
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\EscapeUnicode.java",1,1,1,1,14,0,7,6,,,,,1,0,0,5,,5,5,1,5,,0,1,0,4,,123,,,,10,,,,45,,,16,22,68,,,,,,,22,32,14,,,18,,,,,,,,5,5,5,1,,,3,,,,1.51,9,9,9,5
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\ExpandProperties.java",1,1,1,1,14,0,8,6,,,,,2,0,1,6,,6,6,3,6,,0,0,0,6,,138,,,,11,,,,63,,,27,29,64,,,,,,,33,45,26,,,19,,,,,,,,5,5,5,3,,,1,,,,1.02,11,11,11,8
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\FixCrLfFilter.java",2,1,2,1,12,0,8,3,,,,,10,3,22,59,,59,56,22,59,,2,4,0,53,,1008,,,,118,,,,578,,,141,375,313,,,,,,,276,397,142,,,255,,,,,,,,21,12,22,8,,,5,,,,0.54,138,116,155,83
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\HeadFilter.java",2,2,2,2,14,0,8,6,,,,,1,0,3,10,,10,10,7,10,,0,4,0,6,,221,,,,23,,,,98,,,30,56,100,,,,,,,51,75,30,,,45,,,,,,,,6,6,7,5,,,3,,,,1.02,23,23,24,21
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\LineContains.java",1,1,2,1,12,0,6,6,,,,,2,0,2,12,,12,12,4,12,,0,3,0,9,,243,,,,23,,,,94,,,34,47,126,,,,,,,47,72,34,,,38,,,,,,,,8,8,9,5,,,3,,,,1.34,23,23,24,16
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\LineContainsRegExp.java",2,2,2,1,14,0,7,6,,,,,1,0,3,11,,11,11,4,11,,0,3,0,8,,241,,,,21,,,,104,,,40,58,116,,,,,,,56,80,39,,,41,,,,,,,,8,8,9,5,,,3,,,,1.12,23,23,24,15
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\PrefixLines.java",2,2,2,1,15,0,8,6,,,,,1,0,1,7,,7,7,2,7,,0,2,0,5,,163,,,,14,,,,68,,,20,37,81,,,,,,,32,49,19,,,30,,,,,,,,7,7,8,4,,,3,,,,1.19,16,16,17,12
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\ReplaceTokens.java",2,2,2,1,14,0,8,5,,,,,2,0,2,20,,20,20,9,20,,0,8,0,12,,396,,,,40,,,,204,,,66,121,152,,,,,,,102,148,66,,,82,,,,,,,,13,13,15,7,,,6,,,,0.75,46,46,48,26
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\SortFilter.java",2,2,2,1,17,0,10,7,,,,,2,0,2,12,,12,12,5,12,,0,2,0,10,,375,,,,23,,,,137,,,37,84,215,,,,,,,68,96,38,,,58,,,,,,,,10,10,10,10,,,4,,,,1.57,31,31,32,23
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\StringInputStream.java",1,1,1,1,8,0,3,5,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,49,,,,6,,,,11,,,6,2,32,,,,,,,5,8,6,,,2,,,,,,,,1,1,1,1,,,0,,,,2.91,2,2,2,2
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\StripJavaComments.java",4,4,4,3,22,0,13,7,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,145,,,,12,,,,65,,,15,40,68,,,,,,,28,45,13,,,32,,,,,,,,13,13,16,11,,,8,,,,1.05,16,16,19,14
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\StripLineBreaks.java",2,2,2,1,13,0,6,6,,,,,1,0,2,7,,7,7,1,7,,0,2,0,5,,153,,,,12,,,,59,,,21,30,82,,,,,,,28,43,20,,,23,,,,,,,,5,5,5,4,,,3,,,,1.39,14,14,14,12
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\filters\StripLineComments.java",2,2,2,1,14,0,7,6,,,,,2,0,1,11,,11,11,3,11,,0,3,0,8,,236,,,,23,,,,94,,,29,48,119,,,,,,,43,68,29,,,39,,,,,,,,9,9,9,7,,,4,,,,1.27,23,23,23,17
