validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;821
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;195
setFeature; XMLParser.java; org.apache.xerces.framework;192
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;191
initialize; URI.java; org.apache.xerces.utils;187
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;183
scanContent; UCSReader.java; org.apache.xerces.readers;182
startElement; XPathMatcher.java; org.apache.xerces.validators.schema.identity;180
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
matches; RegularExpression.java; org.apache.xerces.utils.regex;176
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;176
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;174
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
startElement; HTMLSerializer.java; org.apache.xml.serialize;169
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
toString; XMLContentSpec.java; org.apache.xerces.framework;164
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
traverseRedefine; TraverseSchema.java; org.apache.xerces.validators.schema;156
getFeature; XMLParser.java; org.apache.xerces.framework;156
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema;156
startElement; DOMParser.java; org.apache.xerces.parsers;156
createChildren; DOMParser.java; org.apache.xerces.parsers;154
processAttributes; TraverseSchema.java; org.apache.xerces.validators.schema;154
createChildModel; Grammar.java; org.apache.xerces.validators.common;153
callStartElement; XMLValidator.java; org.apache.xerces.validators.common;152
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;152
startElement; XMLSerializer.java; org.apache.xml.serialize;150
resolveSchemaGrammar; XMLValidator.java; org.apache.xerces.validators.common;150
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;149
internalRemoveChild; ParentNode.java; org.apache.xerces.dom;148
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;147
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;146
expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;146
scanContent; StringReader.java; org.apache.xerces.readers;145
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
checkAttributes; GeneralAttrCheck.java; org.apache.xerces.validators.schema;143
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
traverseComplexContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;140
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
validateRedefineNameChange; TraverseSchema.java; org.apache.xerces.validators.schema;140
getElementNameFor; TraverseSchema.java; org.apache.xerces.validators.schema;139
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;137
isEquivalentTo; SubstitutionGroupComparator.java; org.apache.xerces.validators.schema;136
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
internalRemoveChild; AttrImpl.java; org.apache.xerces.dom;134
checkContentEnum; ListDatatypeValidator.java; org.apache.xerces.validators.datatype;130
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;129
openRedefinedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;129
handleOccurrences; TraverseSchema.java; org.apache.xerces.validators.schema;128
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
traverseInclude; TraverseSchema.java; org.apache.xerces.validators.schema;125
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
parse; DurationDatatypeValidator.java; org.apache.xerces.validators.datatype;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;119
traverseIncludedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;119
whatCanGoHere; AllContentModel.java; org.apache.xerces.validators.common;118
startElement; HTMLSerializer.java; org.apache.xml.serialize;118
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
createChildren; DOMParser.java; org.apache.xerces.parsers;115
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
setFeature; DOMParser.java; org.apache.xerces.parsers;114
traverseAttributeGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;114
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;112
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common;112
compareBoundaryPoints; RangeImpl.java; org.apache.xerces.dom;112
validateContentSpecial; AllContentModel.java; org.apache.xerces.validators.common;112
validateContent; AllContentModel.java; org.apache.xerces.validators.common;112
validateContentSpecial; DFAContentModel.java; org.apache.xerces.validators.common;110
traverseContents; RangeImpl.java; org.apache.xerces.dom;108
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
scanQName; UTF8Reader.java; org.apache.xerces.readers;107
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;105
