newSystemMetadata: CFMetaData.java: org.apache.cassandra.config: 4
getCompactionInfo: SecondaryIndexBuilder.java: org.apache.cassandra.db.index: 3
getValueId: CFDefinition.java: org.apache.cassandra.cql3: 3
getWriteEndpoints: StorageProxy.java: org.apache.cassandra.service: 3
getTotalReadLatencyHistogramMicros: StorageProxy.java: org.apache.cassandra.service: 3
generateRandomKey: Operation.java: org.apache.cassandra.stress.util: 4
chunkFor: CompressionMetadata.java: org.apache.cassandra.io.compress: 4
getRecentReadLatencyHistogramMicros: ColumnFamilyStore.java: org.apache.cassandra.db: 3
isKeyExistenceExpensive: LeveledCompactionStrategy.java: org.apache.cassandra.db.compaction: 4
estimatedKeys: SSTableReader.java: org.apache.cassandra.io.sstable: 3
reverseIterator: ThreadSafeSortedColumns.java: org.apache.cassandra.db: 4
next: SSTableIdentityIterator.java: org.apache.cassandra.io.sstable: 4
iterator: TreeMapBackedSortedColumns.java: org.apache.cassandra.db: 3
enableAutoCompaction: ColumnFamilyStore.java: org.apache.cassandra.db: 3
getKeyId: CFDefinition.java: org.apache.cassandra.cql3: 3
close: SSTableSimpleWriter.java: org.apache.cassandra.io.sstable: 3
newSuperColumn: AbstractSSTableSimpleWriter.java: org.apache.cassandra.io.sstable: 3
reBuffer: CompressedRandomAccessReader.java: org.apache.cassandra.io.compress: 5
iterator: AtomicSortedColumns.java: org.apache.cassandra.db: 3
getPrimaryRangeForEndpoint: StorageService.java: org.apache.cassandra.service: 3
bytesForBig: AbstractByteOrderedPartitioner.java: org.apache.cassandra.dht: 3
getCurrentGenerationNumber: Gossiper.java: org.apache.cassandra.gms: 3
intersects: Interval.java: org.apache.cassandra.utils.IntervalTree: 3
printIsThriftServerRunning: NodeCmd.java: org.apache.cassandra.tools: 3
keyspace: CFStatement.java: org.apache.cassandra.cql3.statements: 3
getPredecessor: StorageService.java: org.apache.cassandra.service: 5
internalAddReadySegment: CommitLogAllocator.java: org.apache.cassandra.db.commitlog: 3
markSSTablesForCompaction: AbstractCompactionTask.java: org.apache.cassandra.db.compaction: 3
getColumnId: CFDefinition.java: org.apache.cassandra.cql3: 4
stop: CassandraDaemon.java: org.apache.cassandra.thrift: 3
addMicro: LatencyTracker.java: org.apache.cassandra.utils: 3
getMinRowSize: DataTracker.java: org.apache.cassandra.db: 3
activateNextSegment: CommitLog.java: org.apache.cassandra.db.commitlog: 3
requireNetworkTopologyStrategy: ThriftValidation.java: org.apache.cassandra.thrift: 3
echoData: SSTableIdentityIterator.java: org.apache.cassandra.io.sstable: 4
create: ConcurrentLinkedHashCache.java: org.apache.cassandra.cache: 5
prepareKeyspace: CFStatement.java: org.apache.cassandra.cql3.statements: 3
hashCode: CompressionParameters.java: org.apache.cassandra.io.compress: 4
getTopLevelColumns: ColumnFamilyStore.java: org.apache.cassandra.db: 3
activeSegments: CommitLog.java: org.apache.cassandra.db.commitlog: 3
requestInvoke: CustomTNonBlockingServer.java: org.apache.cassandra.thrift: 3
constructRangeToEndpointMap: StorageService.java: org.apache.cassandra.service: 3
shouldReplicateOnWrite: CounterMutation.java: org.apache.cassandra.db: 3
loadNewSSTables: ColumnFamilyStore.java: org.apache.cassandra.db: 3
removeIndex: KeysIndex.java: org.apache.cassandra.db.index.keys: 3
forceNewSegment: CommitLog.java: org.apache.cassandra.db.commitlog: 4
removeDeletedAndOldShards: PrecompactedRow.java: org.apache.cassandra.db.compaction: 3
reverseIterator: TreeMapBackedSortedColumns.java: org.apache.cassandra.db: 4
isRowCacheEnabled: ColumnFamilyStore.java: org.apache.cassandra.db: 3
removeBootstrapToken: TokenMetadata.java: org.apache.cassandra.locator: 3
hashCode: ColumnFamily.java: org.apache.cassandra.db: 4
iterator: ThreadSafeSortedColumns.java: org.apache.cassandra.db: 3
shutdownBlocking: CommitLog.java: org.apache.cassandra.db.commitlog: 5
reverseIterator: AtomicSortedColumns.java: org.apache.cassandra.db: 4
bytesOnDisk: SSTable.java: org.apache.cassandra.io.sstable: 3
getSliceRange: Reader.java: org.apache.cassandra.stress.operations: 4
write: EchoedRow.java: org.apache.cassandra.db: 5
hasUnreclaimedSpace: ColumnFamilyStore.java: org.apache.cassandra.db: 3
getMaxRowSize: DataTracker.java: org.apache.cassandra.db: 3
