validateConfiguration: SimpleAuthority.java: examples.simple_authentication.src.org.apache.cassandra.auth Diff:28
delete: SSTable.java: src.java.org.apache.cassandra.io.sstable Diff:8
dumpToStorage: DefsTable.java: src.java.org.apache.cassandra.db Diff:2
next: DestructivePQIterator.java: src.java.org.apache.cassandra.utils Diff:2
run: RangeSlicer.java: tools.stress.src.org.apache.cassandra.stress.operations Diff:26
getColumnDefinitionComparator: CFMetaData.java: src.java.org.apache.cassandra.config Diff:143
getRowCacheRecentHitRate: CacheService.java: src.java.org.apache.cassandra.service Diff:20
mergeAndRemoveOldShards: CounterColumn.java: src.java.org.apache.cassandra.db Diff:45
main: CassandraDaemon.java: src.java.org.apache.cassandra.thrift Diff:3
getColumnDefinitionForIndex: CFMetaData.java: src.java.org.apache.cassandra.config Diff:3
printNetworkStats: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:51
loadNewSSTables: StorageService.java: src.java.org.apache.cassandra.service Diff:568
updateMaxTimestamp: SSTableWriter.java: src.java.org.apache.cassandra.io.sstable Diff:14
finishStartup: SystemTable.java: src.java.org.apache.cassandra.db Diff:1
decompose: JdbcDecimal.java: src.java.org.apache.cassandra.cql.jdbc Diff:5
doVerb: GossipShutdownVerbHandler.java: src.java.org.apache.cassandra.gms Diff:4
getString: PropertyDefinitions.java: src.java.org.apache.cassandra.cql3 Diff:6
newSuperColumn: AbstractSSTableSimpleWriter.java: src.java.org.apache.cassandra.io.sstable Diff:7
getEndpoint: TokenMetadata.java: src.java.org.apache.cassandra.locator Diff:18
getNewSSTable: Scrubber.java: src.java.org.apache.cassandra.db.compaction Diff:64
equals: OpenBitSet.java: src.java.org.apache.cassandra.utils.obs Diff:3
xor: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:8
migrateBackups: Directories.java: src.java.org.apache.cassandra.db Diff:14
getTokenFactory: RandomPartitioner.java: src.java.org.apache.cassandra.dht Diff:8
open: Table.java: src.java.org.apache.cassandra.db Diff:1
getInternalReply: Message.java: src.java.org.apache.cassandra.net Diff:2
newSocket: OutboundTcpConnectionPool.java: src.java.org.apache.cassandra.net Diff:10
resetAndTruncate: CompressedSequentialWriter.java: src.java.org.apache.cassandra.io.compress Diff:14
scheduleHintDelivery: HintedHandOffManager.java: src.java.org.apache.cassandra.db Diff:97
flushSchemaCFs: DefsTable.java: src.java.org.apache.cassandra.db Diff:139
destroy: AbstractCassandraDaemon.java: src.java.org.apache.cassandra.service Diff:51
waitingFor: DatacenterReadCallback.java: src.java.org.apache.cassandra.service Diff:3
iterator: ArrayBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:11
loadYaml: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:50
registerFailureDetectionEventListener: FailureDetector.java: src.java.org.apache.cassandra.gms Diff:21
getFilter: BloomFilter.java: src.java.org.apache.cassandra.utils Diff:3
closeableIterator: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:27
awaitTermination: CommitLogAllocator.java: src.java.org.apache.cassandra.db.commitlog Diff:34
getInitialToken: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:68
onChange: StorageService.java: src.java.org.apache.cassandra.service Diff:162
localCopy: CounterColumn.java: src.java.org.apache.cassandra.db Diff:22
subColumnNameAsBytes: CliClient.java: src.java.org.apache.cassandra.cli Diff:206
hasNext: SSTableScanner.java: src.java.org.apache.cassandra.io.sstable Diff:4
removeDeletedCF: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:82
read: RangeSliceReply.java: src.java.org.apache.cassandra.db Diff:16
getConsistencyLevel: Session.java: tools.stress.src.org.apache.cassandra.stress Diff:2
and: WhereClause.java: src.java.org.apache.cassandra.cql Diff:1
getMaxTimestamp: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:136
hasSameReplication: StorageService.java: src.java.org.apache.cassandra.service Diff:506
badUse: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:111
getRecentTimeoutsPerHost: MessagingService.java: src.java.org.apache.cassandra.net Diff:112
getReplicationFactor: AbstractReplicationStrategy.java: src.java.org.apache.cassandra.locator Diff:10
close: FileStreamTask.java: src.java.org.apache.cassandra.streaming Diff:37
setOutputPartitioner: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:37
reset: OutboundTcpConnectionPool.java: src.java.org.apache.cassandra.net Diff:3
filterToIndexExpressions: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:113
setVersion: Gossiper.java: src.java.org.apache.cassandra.gms Diff:4
getBuckets: SizeTieredCompactionStrategy.java: src.java.org.apache.cassandra.db.compaction Diff:32
scrub: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:110
invalidate: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:34
getHintedHandoffEnabled: StorageProxy.java: src.java.org.apache.cassandra.service Diff:286
getColumnFamily: UpdateStatement.java: src.java.org.apache.cassandra.cql Diff:22
main: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:110
getAuthorityContainer: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:62
getOriginalRequestedCount: SliceFromReadCommand.java: src.java.org.apache.cassandra.db Diff:14
getSortedColumns: TreeMapBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:18
getRangeBatchSize: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:5
stringify: StorageService.java: src.java.org.apache.cassandra.service Diff:308
maxBucketsPerElement: BloomCalculations.java: src.java.org.apache.cassandra.utils Diff:2
subscribe: DataTracker.java: src.java.org.apache.cassandra.db Diff:26
countPendingHints: HintedHandOffManager.java: src.java.org.apache.cassandra.db Diff:103
processStatement: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:238
serializeSchema: SystemTable.java: src.java.org.apache.cassandra.db Diff:170
getLiveMembers: Gossiper.java: src.java.org.apache.cassandra.gms Diff:11
validate: IntegerType.java: src.java.org.apache.cassandra.db.marshal Diff:7
sendReplicationNotification: StorageService.java: src.java.org.apache.cassandra.service Diff:251
getCompactionStrategyClass: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:9
getIndexedColumns: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:11
getRemovalStatus: StorageService.java: src.java.org.apache.cassandra.service Diff:430
getSuperColumnsMutationMap: Inserter.java: tools.stress.src.org.apache.cassandra.stress.operations Diff:23
thriftifyCounterSuperColumns: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:24
executeConsistencyLevelStatement: CliClient.java: src.java.org.apache.cassandra.cli Diff:49
addAllWithSizeDelta: AbstractThreadUnsafeSortedColumns.java: src.java.org.apache.cassandra.db Diff:21
setPhiConvictThreshold: FailureDetector.java: src.java.org.apache.cassandra.gms Diff:17
prepare: QueryProcessor.java: src.java.org.apache.cassandra.cql3 Diff:9
getIndexCfs: KeysIndex.java: src.java.org.apache.cassandra.db.index.keys Diff:27
hasKeySpace: CliClient.java: src.java.org.apache.cassandra.cli Diff:144
removeOldShards: CounterColumn.java: src.java.org.apache.cassandra.db Diff:43
getOriginalRequestedCount: RetriedSliceFromReadCommand.java: src.java.org.apache.cassandra.db Diff:2
printReleaseVersion: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:32
toString: DecoratedKey.java: src.java.org.apache.cassandra.db Diff:1
getJdbcType: JdbcDate.java: src.java.org.apache.cassandra.cql.jdbc Diff:3
announceMigration: AlterTableStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:32
addProperty: PropertyDefinitions.java: src.java.org.apache.cassandra.cql3 Diff:1
toString: RowMutation.java: src.java.org.apache.cassandra.db Diff:47
onChange: LoadBroadcaster.java: src.java.org.apache.cassandra.service Diff:1
reconcile: CounterUpdateColumn.java: src.java.org.apache.cassandra.db Diff:8
response: TruncateResponseHandler.java: src.java.org.apache.cassandra.service Diff:1
replace: TreeMapBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:17
validateContext: CounterContext.java: src.java.org.apache.cassandra.db.context Diff:25
getBuiltIndexes: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:204
isDataPresent: RangeSliceResponseResolver.java: src.java.org.apache.cassandra.service Diff:20
getDiskAccessMode: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
getReleaseVersionString: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:24
validateSliceRange: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:111
getToken: StorageService.java: src.java.org.apache.cassandra.service Diff:308
recycleSegment: CommitLogAllocator.java: src.java.org.apache.cassandra.db.commitlog Diff:2
indexLockFor: Table.java: src.java.org.apache.cassandra.db Diff:77
markAlive: EndpointState.java: src.java.org.apache.cassandra.gms Diff:1
hasColumnFamilyAccess: ClientState.java: src.java.org.apache.cassandra.service Diff:7
executeTruncate: CliClient.java: src.java.org.apache.cassandra.cli Diff:47
setValidator: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:40
serializedSize: ColumnFamily.java: src.java.org.apache.cassandra.db Diff:1
getRecentReadLatencyMicros: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:111
renewMemtable: DataTracker.java: src.java.org.apache.cassandra.db Diff:5
getTokenToEndpointMapForReading: TokenMetadata.java: src.java.org.apache.cassandra.locator Diff:95
getTotalReadLatencyMicros: StorageProxy.java: src.java.org.apache.cassandra.service Diff:273
get: TruncateResponseHandler.java: src.java.org.apache.cassandra.service Diff:1
getColumns: CreateColumnFamilyStatement.java: src.java.org.apache.cassandra.cql Diff:25
getRequestSchedulerOptions: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:67
getBuiltIndexes: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:45
getKeySamples: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:91
validateMagic: MessagingService.java: src.java.org.apache.cassandra.net Diff:47
getStrategyClass: CreateKeyspaceStatement.java: src.java.org.apache.cassandra.cql Diff:7
validateCurrentFile: StreamOutSession.java: src.java.org.apache.cassandra.streaming Diff:24
getCandidatesFor: LeveledManifest.java: src.java.org.apache.cassandra.db.compaction Diff:31
isCompatibleWith: CompositeType.java: src.java.org.apache.cassandra.db.marshal Diff:13
executeDropIndex: CliClient.java: src.java.org.apache.cassandra.cli Diff:44
binarySearch: ArrayBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:3
preprocess: AbstractRowResolver.java: src.java.org.apache.cassandra.service Diff:7
getString: UUIDType.java: src.java.org.apache.cassandra.db.marshal Diff:22
utf8: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:3
checkAccess: DropColumnFamilyStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:3
getMD5: Operation.java: tools.stress.src.org.apache.cassandra.stress.util Diff:29
inputStream: ByteBufferUtil.java: src.java.org.apache.cassandra.utils Diff:39
onRemove: LoadBroadcaster.java: src.java.org.apache.cassandra.service Diff:2
isReversed: SliceQueryFilter.java: src.java.org.apache.cassandra.db.filter Diff:27
generateRandomKey: Operation.java: tools.stress.src.org.apache.cassandra.stress.util Diff:16
allUserDefined: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:182
compose: JdbcAscii.java: src.java.org.apache.cassandra.cql.jdbc Diff:1
getTotalBytes: SSTable.java: src.java.org.apache.cassandra.io.sstable Diff:30
makeGossipDigestAck2Message: Gossiper.java: src.java.org.apache.cassandra.gms Diff:83
doValidationCompaction: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:130
getRpcAddress: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
compareTo: SSTableIdentityIterator.java: src.java.org.apache.cassandra.io.sstable Diff:11
onRestart: AbstractStreamSession.java: src.java.org.apache.cassandra.streaming Diff:2
getCompactedRow: CompactionController.java: src.java.org.apache.cassandra.db.compaction Diff:13
iterator: ParallelCompactionIterable.java: src.java.org.apache.cassandra.db.compaction Diff:3
deserializeColumns: ColumnFamilySerializer.java: src.java.org.apache.cassandra.db Diff:4
doStatusCheck: Gossiper.java: src.java.org.apache.cassandra.gms Diff:116
clean: FileUtils.java: src.java.org.apache.cassandra.io.util Diff:5
updateColumnMetaData: CliClient.java: src.java.org.apache.cassandra.cli Diff:224
getColumns: CreateColumnFamilyStatement.java: src.java.org.apache.cassandra.cql Diff:35
printEndPoints: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:121
hasNodeId: CounterContext.java: src.java.org.apache.cassandra.db.context Diff:29
rename: SSTableWriter.java: src.java.org.apache.cassandra.io.sstable Diff:49
getBootstrapState: SystemTable.java: src.java.org.apache.cassandra.db Diff:124
getKeys: IndexSummary.java: src.java.org.apache.cassandra.io.sstable Diff:1
close: TCustomServerSocket.java: src.java.org.apache.cassandra.thrift Diff:5
initClient: StorageService.java: src.java.org.apache.cassandra.service Diff:16
printRangeKeySample: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:111
convertValueByFunction: CliClient.java: src.java.org.apache.cassandra.cli Diff:218
snapshot: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:169
getSubsnitchClassName: DynamicEndpointSnitch.java: src.java.org.apache.cassandra.locator Diff:5
getString: CounterColumn.java: src.java.org.apache.cassandra.db Diff:34
getIndexExpressions: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:49
addCounterColumn: AbstractSSTableSimpleWriter.java: src.java.org.apache.cassandra.io.sstable Diff:7
put: WeightedQueue.java: src.java.org.apache.cassandra.scheduler Diff:1
toString: KeyCacheKey.java: src.java.org.apache.cassandra.cache Diff:3
markClean: CommitLogSegment.java: src.java.org.apache.cassandra.db.commitlog Diff:3
getCfDef: CFMetaData.java: src.java.org.apache.cassandra.config Diff:146
thriftifySubColumns: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:7
getBloomFilterDiskSpaceUsed: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:188
deserialize: ColumnSerializer.java: src.java.org.apache.cassandra.db Diff:23
recover: CommitLog.java: src.java.org.apache.cassandra.db.commitlog Diff:4
getColumnFamily: SSTableNamesIterator.java: src.java.org.apache.cassandra.db.columniterator Diff:32
response: AbstractWriteResponseHandler.java: src.java.org.apache.cassandra.service Diff:2
maybeAddReplicationFactor: Avro.java: src.java.org.apache.cassandra.config Diff:18
waitUntilListening: MessagingService.java: src.java.org.apache.cassandra.net Diff:19
allLatestVersion: CompactionController.java: src.java.org.apache.cassandra.db.compaction Diff:3
validateTtl: ThriftValidation.java: src.java.org.apache.cassandra.thrift Diff:12
getByteBuffer: Term.java: src.java.org.apache.cassandra.cql Diff:2
getAddressRanges: AbstractReplicationStrategy.java: src.java.org.apache.cassandra.locator Diff:15
stopRPCServer: StorageService.java: src.java.org.apache.cassandra.service Diff:5
getNameComparatorForResultSet: CFDefinition.java: src.java.org.apache.cassandra.cql3 Diff:10
writeMetadata: SSTableWriter.java: src.java.org.apache.cassandra.io.sstable Diff:41
newCacheProvider: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:27
throwIfFatal: Scrubber.java: src.java.org.apache.cassandra.db.compaction Diff:64
deserializeIndex: IndexHelper.java: src.java.org.apache.cassandra.io.sstable Diff:12
onChange: AbstractStreamSession.java: src.java.org.apache.cassandra.streaming Diff:4
getStatistics: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:100
getBytesAccordingToType: CliClient.java: src.java.org.apache.cassandra.cli Diff:215
getMutations: DeleteStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:12
getBloomFilterFalsePositives: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:191
getNaturalEndpoints: StorageService.java: src.java.org.apache.cassandra.service Diff:353
disableAutoCompaction: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:50
getJdbcType: JdbcUTF8.java: src.java.org.apache.cassandra.cql.jdbc Diff:2
writeColumnsFromTuple: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:140
getSocket: TCustomSocket.java: src.java.org.apache.cassandra.thrift Diff:1
bytesUsed: CommitLogAllocator.java: src.java.org.apache.cassandra.db.commitlog Diff:13
getStreamThroughputOutboundMegabitsPerSec: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:75
create: CompressionMetadata.java: src.java.org.apache.cassandra.io.compress Diff:3
add: CommitLog.java: src.java.org.apache.cassandra.db.commitlog Diff:8
getCommitLogSync: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
max: EstimatedHistogram.java: src.java.org.apache.cassandra.utils Diff:2
onAlive: Ec2MultiRegionSnitch.java: src.java.org.apache.cassandra.locator Diff:1
getTotalRangeLatencyMicros: StorageProxy.java: src.java.org.apache.cassandra.service Diff:278
equalsNodeId: Util.java: test.unit.org.apache.cassandra Diff:25
initCf: Table.java: src.java.org.apache.cassandra.db Diff:25
closeIfFinished: StreamInSession.java: src.java.org.apache.cassandra.streaming Diff:63
usePreparedStatements: Session.java: tools.stress.src.org.apache.cassandra.stress Diff:3
clone: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:5
getDestinations: StreamOutSession.java: src.java.org.apache.cassandra.streaming Diff:19
describeOwnership: AbstractByteOrderedPartitioner.java: src.java.org.apache.cassandra.dht Diff:18
getCompressionParameters: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:11
isReadyForBootstrap: MigrationManager.java: src.java.org.apache.cassandra.service Diff:10
serializedSize: Truncation.java: src.java.org.apache.cassandra.db Diff:2
close: ColumnFamilyRecordWriter.java: src.java.org.apache.cassandra.hadoop Diff:5
discardSSTables: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:211
validate: CFMetaData.java: src.java.org.apache.cassandra.config Diff:38
getRowCacheRequests: CacheService.java: src.java.org.apache.cassandra.service Diff:18
deliverHintsToEndpointInternal: HintedHandOffManager.java: src.java.org.apache.cassandra.db Diff:85
stop: CustomTThreadPoolServer.java: src.java.org.apache.cassandra.thrift Diff:10
assertContentEquals: SSTableUtils.java: test.unit.org.apache.cassandra.io.sstable Diff:11
readSaved: AutoSavingCache.java: src.java.org.apache.cassandra.cache Diff:12
getRangeAddresses: AbstractReplicationStrategy.java: src.java.org.apache.cassandra.locator Diff:16
rescheduleFailedDeletions: StorageService.java: src.java.org.apache.cassandra.service Diff:569
compareEndpointStartup: Gossiper.java: src.java.org.apache.cassandra.gms Diff:131
setOutputKeyspaceUserName: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:17
deserialize: Header.java: src.java.org.apache.cassandra.net Diff:6
getValueValidator: UpdateStatement.java: src.java.org.apache.cassandra.cql Diff:28
setPartitionFilter: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:101
sleep: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:35
classForName: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:26
removeColumn: AtomicSortedColumns.java: src.java.org.apache.cassandra.db Diff:6
transferSSTables: StreamOut.java: src.java.org.apache.cassandra.streaming Diff:8
getSSTableColumnIterator: SliceQueryFilter.java: src.java.org.apache.cassandra.db.filter Diff:1
close: IncomingTcpConnection.java: src.java.org.apache.cassandra.net Diff:30
getPropertyBoolean: CFPropDefs.java: src.java.org.apache.cassandra.cql Diff:17
close: CompressedSequentialWriter.java: src.java.org.apache.cassandra.io.compress Diff:15
close: ColumnFamilyRecordWriter.java: src.java.org.apache.cassandra.hadoop Diff:5
showColumnFamily: CliClient.java: src.java.org.apache.cassandra.cli Diff:108
getOutputPartitioner: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:39
unbootstrap: StorageService.java: src.java.org.apache.cassandra.service Diff:401
writeCurrentLocalNodeId: SystemTable.java: src.java.org.apache.cassandra.db Diff:159
bootstrapInProgress: SystemTable.java: src.java.org.apache.cassandra.db Diff:122
setBootstrapState: SystemTable.java: src.java.org.apache.cassandra.db Diff:128
isColumnNeeded: IndexedSliceReader.java: src.java.org.apache.cassandra.db.columniterator Diff:16
sendRR: MessagingService.java: src.java.org.apache.cassandra.net Diff:24
getExceptionMessage: Operation.java: tools.stress.src.org.apache.cassandra.stress.util Diff:37
getCFMetaData: Schema.java: src.java.org.apache.cassandra.config Diff:6
addSourceFilter: RangeStreamer.java: src.java.org.apache.cassandra.dht Diff:1
prepare: BatchStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:24
initSocket: TCustomSocket.java: src.java.org.apache.cassandra.thrift Diff:1
getCompressionMetadata: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:65
seekInternal: MemoryInputStream.java: src.java.org.apache.cassandra.io.util Diff:2
announceMigration: CreateColumnFamilyStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:9
setMultiKey: WhereClause.java: src.java.org.apache.cassandra.cql Diff:2
setKeyspace: ClientState.java: src.java.org.apache.cassandra.service Diff:1
unmarkSSTables: AbstractCompactionTask.java: src.java.org.apache.cassandra.db.compaction Diff:5
onJoin: AbstractStreamSession.java: src.java.org.apache.cassandra.streaming Diff:4
getIndexForColumn: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:34
equals: Descriptor.java: src.java.org.apache.cassandra.io.sstable Diff:2
countFlushingBytes: MeteredFlusher.java: src.java.org.apache.cassandra.db Diff:21
normaliseType: CliClient.java: src.java.org.apache.cassandra.cli Diff:139
searchComposite: DefsTable.java: src.java.org.apache.cassandra.db Diff:16
remove: DestructivePQIterator.java: src.java.org.apache.cassandra.utils Diff:2
getIncomingFiles: StreamingService.java: src.java.org.apache.cassandra.streaming Diff:13
getCompletedTasks: PeriodicCommitLogExecutorService.java: src.java.org.apache.cassandra.db.commitlog Diff:8
stream: FileStreamTask.java: src.java.org.apache.cassandra.streaming Diff:15
maybeRestoreArchive: CommitLogArchiver.java: src.java.org.apache.cassandra.db.commitlog Diff:11
respondError: TruncateVerbHandler.java: src.java.org.apache.cassandra.db Diff:20
getEstimatedColumnCountHistogram: DataTracker.java: src.java.org.apache.cassandra.db Diff:16
prepareToRead: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:56
getClient: Session.java: tools.stress.src.org.apache.cassandra.stress Diff:9
getColumnId: CFDefinition.java: src.java.org.apache.cassandra.cql3 Diff:4
doVerb: MigrationRequestVerbHandler.java: src.java.org.apache.cassandra.db Diff:10
makeWriteResponseMessage: WriteResponse.java: src.java.org.apache.cassandra.db Diff:4
toDouble: ByteBufferUtil.java: src.java.org.apache.cassandra.utils Diff:32
rebuild: StorageService.java: src.java.org.apache.cassandra.service Diff:106
applyAssumption: CliClient.java: src.java.org.apache.cassandra.cli Diff:62
getWorkMap: RangeStreamer.java: src.java.org.apache.cassandra.dht Diff:26
getActiveSegments: CommitLogAllocator.java: src.java.org.apache.cassandra.db.commitlog Diff:34
hashCode: BytesToken.java: src.java.org.apache.cassandra.dht Diff:1
remove: LeveledManifest.java: src.java.org.apache.cassandra.db.compaction Diff:14
isRelevant: QueryFilter.java: src.java.org.apache.cassandra.db.filter Diff:20
isEmpty: AtomicSortedColumns.java: src.java.org.apache.cassandra.db Diff:13
get_paged_slice: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:126
setPartitioner: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:67
highestSelectivityPredicate: KeysSearcher.java: src.java.org.apache.cassandra.db.index.keys Diff:4
