traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;538
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;139
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;139
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
startElement; XMLSerializer.java; org.apache.xml.serialize;137
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;131
TimeDurationDatatypeValidator; TimeDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;129
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;128
URIReferenceDatatypeValidator; URIReferenceDatatypeValidator.java; org.apache.xerces.validators.datatype;128
checkForFacetConsistency; DecimalDatatypeValidator.java; org.apache.xerces.validators.datatype;126
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
expandContentModel; TraverseSchema.java; org.apache.xerces.validators.schema;119
FloatDatatypeValidator; FloatDatatypeValidator.java; org.apache.xerces.validators.datatype;118
DoubleDatatypeValidator; DoubleDatatypeValidator.java; org.apache.xerces.validators.datatype;115
createChildren; DOMParser.java; org.apache.xerces.parsers;115
traverseGroupDeclFromAnotherSchema; TraverseSchema.java; org.apache.xerces.validators.schema;115
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
setFeature; DOMParser.java; org.apache.xerces.parsers;114
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
startElement; HTMLSerializer.java; org.apache.xml.serialize;113
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;110
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
