PlotPackageTests.java: org.jfree.chart.plot.junit FastScatterPlotTests.java: org.jfree.chart.plot.junit 1->2: 3  2->1: 22
Axis.java: org.jfree.chart.axis ThermometerPlot.java: org.jfree.chart.plot 1->2: 124  2->1: 40
StandardXYItemRenderer.java: org.jfree.chart.renderer StandardXYItemRendererTests.java: org.jfree.chart.renderer.junit 1->2: 37  2->1: 0
ChartFactory.java: org.jfree.chart PiePlot.java: org.jfree.chart.plot 1->2: 0  2->1: 23
Marker.java: org.jfree.chart FastScatterPlot.java: org.jfree.chart.plot 1->2: 40  2->1: 2
CategoryAxis.java: org.jfree.chart.axis Axis.java: org.jfree.chart.axis 1->2: 17  2->1: 19
ChartUtilities.java: org.jfree.chart ServletUtilities.java: org.jfree.chart.servlet 1->2: 30  2->1: 24
Series.java: org.jfree.data XYSeries.java: org.jfree.data 1->2: 72  2->1: 28
HorizontalDateAxis.java: org.jfree.chart.axis HorizontalAxis.java: org.jfree.chart.axis 1->2: 14  2->1: 5
LineChartDemo3.java: org.jfree.chart.demo XYPlot.java: org.jfree.chart.plot 1->2: 207  2->1: 10
TimeSeriesDemo5.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 5
LegendItemCollection.java: org.jfree.chart ThermometerPlot.java: org.jfree.chart.plot 1->2: 75  2->1: 0
JFreeChart.java: org.jfree.chart AreaXYChartDemo2.java: org.jfree.chart.demo 1->2: 12  2->1: 3
Plot.java: org.jfree.chart.plot Pie3DPlot.java: org.jfree.chart.plot 1->2: 96  2->1: 24
XYPlot.java: org.jfree.chart.plot SignalRenderer.java: org.jfree.chart.renderer 1->2: 10  2->1: 2
JFreeChart.java: org.jfree.chart JThermometer.java: org.jfree.chart.plot 1->2: 19  2->1: 6
XYSeriesDemo2.java: org.jfree.chart.demo XYSeries.java: org.jfree.data 1->2: 0  2->1: 60
SymbolicXYPlotDemo.java: org.jfree.chart.demo SampleYSymbolicDataset.java: org.jfree.chart.demo 1->2: 1  2->1: 41
ChartFactory.java: org.jfree.chart ChartTiming2.java: org.jfree.chart.demo 1->2: 2  2->1: 18
AbstractTitle.java: org.jfree.chart TitleChangeEvent.java: org.jfree.chart.event 1->2: 12  2->1: 10
JFreeChart.java: org.jfree.chart Plot.java: org.jfree.chart.plot 1->2: 112  2->1: 98
ChartFactory.java: org.jfree.chart VerticalBarChartDemo2.java: org.jfree.chart.demo 1->2: 2  2->1: 18
DateAxis.java: org.jfree.chart.axis AxisChangeEvent.java: org.jfree.chart.event 1->2: 0  2->1: 12
XYLogAxesDemo.java: org.jfree.chart.demo Series.java: org.jfree.data 1->2: 0  2->1: 31
HorizontalNumberAxis.java: org.jfree.chart.axis HorizontalLogarithmicAxis.java: org.jfree.chart.axis 1->2: 13  2->1: 14
Effect3D.java: org.jfree.chart HorizontalBarRenderer3D.java: org.jfree.chart.renderer 1->2: 16  2->1: 2
DemoDatasetFactory.java: org.jfree.chart.demo DatasetUtilities.java: org.jfree.data 1->2: 3  2->1: 15
Axis.java: org.jfree.chart.axis VerticalCategoryPlot.java: org.jfree.chart.plot 1->2: 147  2->1: 26
Marker.java: org.jfree.chart CandlestickDemo.java: org.jfree.chart.demo 1->2: 14  2->1: 0
SampleXYDataset2.java: org.jfree.chart.demo Range.java: org.jfree.data 1->2: 0  2->1: 20
XYPlotTests.java: org.jfree.chart.plot.junit PlotPackageTests.java: org.jfree.chart.plot.junit 1->2: 24  2->1: 3
ParetoChartDemo.java: org.jfree.chart.demo LineAndShapeRenderer.java: org.jfree.chart.renderer 1->2: 5  2->1: 10
LegendItemCollection.java: org.jfree.chart XYPlot.java: org.jfree.chart.plot 1->2: 201  2->1: 0
ChartFactory.java: org.jfree.chart LineChartDemo1.java: org.jfree.chart.demo 1->2: 2  2->1: 18
LegendItemCollection.java: org.jfree.chart CategoryPlot.java: org.jfree.chart.plot 1->2: 61  2->1: 0
CustomXYToolTipGenerator.java: org.jfree.chart.tooltips CustomXYToolTipGeneratorTests.java: org.jfree.chart.tooltips.junit 1->2: 15  2->1: 0
ColorBarAxis.java: org.jfree.chart.axis HorizontalLogarithmicColorBarAxis.java: org.jfree.chart.axis 1->2: 8  2->1: 5
CombinedXYPlotDemo.java: org.jfree.chart.demo Day.java: org.jfree.data.time 1->2: 0  2->1: 186
XYPlot.java: org.jfree.chart.plot XYBubbleRenderer.java: org.jfree.chart.renderer 1->2: 15  2->1: 2
JFreeChart.java: org.jfree.chart HorizontalBarChartTests.java: org.jfree.chart.junit 1->2: 14  2->1: 0
HorizontalNumberAxis.java: org.jfree.chart.axis ValueAxis.java: org.jfree.chart.axis 1->2: 7  2->1: 34
HorizontalCategoryPlot.java: org.jfree.chart.plot HorizontalBarRenderer3D.java: org.jfree.chart.renderer 1->2: 30  2->1: 9
StatisticalCategoryDataset.java: org.jfree.data DefaultStatisticalCategoryDataset.java: org.jfree.data 1->2: 14  2->1: 8
DatasetUtilities.java: org.jfree.data Function2D.java: org.jfree.data 1->2: 0  2->1: 13
Hour.java: org.jfree.data.time MillisecondTests.java: org.jfree.data.time.junit 1->2: 27  2->1: 0
MovingAverageDemo.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 13
TimeSeriesDemo4.java: org.jfree.chart.demo Hour.java: org.jfree.data.time 1->2: 0  2->1: 45
RendererPackageTests.java: org.jfree.chart.renderer.junit HorizontalBarRenderer3DTests.java: org.jfree.chart.renderer.junit 1->2: 3  2->1: 38
ImageMapDemo2.java: org.jfree.chart.demo DefaultPieDataset.java: org.jfree.data 1->2: 0  2->1: 18
DemoResources.java: org.jfree.chart.demo.resources Value.java: org.jfree.data 1->2: 0  2->1: 12
First.java: org.jfree.chart.demo DefaultPieDataset.java: org.jfree.data 1->2: 0  2->1: 12
HorizontalDateAxis.java: org.jfree.chart.axis HorizontalDateAxisTests.java: org.jfree.chart.axis.junit 1->2: 13  2->1: 0
JFreeChart.java: org.jfree.chart ChartChangeEvent.java: org.jfree.chart.event 1->2: 22  2->1: 34
ItemHandler.java: org.jfree.data.xml CategorySeriesHandler.java: org.jfree.data.xml 1->2: 11  2->1: 10
Plot.java: org.jfree.chart.plot HorizontalCategoryPlot.java: org.jfree.chart.plot 1->2: 55  2->1: 25
PiePlot.java: org.jfree.chart.plot PieDataset.java: org.jfree.data 1->2: 0  2->1: 17
CategoryItemRenderer.java: org.jfree.chart.renderer HorizontalIntervalBarRenderer.java: org.jfree.chart.renderer 1->2: 13  2->1: 2
StackedHorizontalBarRenderer.java: org.jfree.chart.renderer HorizontalBarRenderer.java: org.jfree.chart.renderer 1->2: 3  2->1: 28
OverlaidXYPlotDemo.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 10
VerticalXYBarChartDemo.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 11
ClipPath.java: org.jfree.chart ContourPlotDemo2.java: org.jfree.chart.demo 1->2: 18  2->1: 0
OverlaidXYPlotDemo.java: org.jfree.chart.demo TimeSeries.java: org.jfree.data.time 1->2: 20  2->1: 124
TaskSeriesCollection.java: org.jfree.data TaskSeriesCollectionTests.java: org.jfree.data.junit 1->2: 21  2->1: 0
SymbolicYPlotDemo.java: org.jfree.chart.demo SubSeriesDataset.java: org.jfree.data 1->2: 0  2->1: 72
JFreeChart.java: org.jfree.chart ScatterPlotDemo2.java: org.jfree.chart.demo 1->2: 9  2->1: 3
XYSeriesDemo2.java: org.jfree.chart.demo Series.java: org.jfree.data 1->2: 0  2->1: 26
AbstractRenderer.java: org.jfree.chart.renderer PaintTable.java: org.jfree.chart.renderer 1->2: 4  2->1: 44
TaskSeriesCollection.java: org.jfree.data MultiIntervalCategoryDataset.java: org.jfree.data 1->2: 21  2->1: 34
PlumNeedle.java: org.jfree.chart.needle MeterNeedle.java: org.jfree.chart.needle 1->2: 2  2->1: 10
HorizontalNumberAxis3D.java: org.jfree.chart.axis Axis.java: org.jfree.chart.axis 1->2: 30  2->1: 78
TimeSeriesDemo6.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 12
HorizontalNumberAxis.java: org.jfree.chart.axis HorizontalNumberAxis3D.java: org.jfree.chart.axis 1->2: 48  2->1: 49
HorizontalBarChartDemo2.java: org.jfree.chart.demo CategoryPlot.java: org.jfree.chart.plot 1->2: 76  2->1: 7
TimeSeriesDemo8.java: org.jfree.chart.demo Series.java: org.jfree.data 1->2: 0  2->1: 30
VerticalNumberAxis.java: org.jfree.chart.axis VerticalLogarithmicColorBarAxis.java: org.jfree.chart.axis 1->2: 47  2->1: 44
SymbolicYPlotDemo.java: org.jfree.chart.demo XYDataset.java: org.jfree.data 1->2: 0  2->1: 28
DateAxis.java: org.jfree.chart.axis DateTickUnit.java: org.jfree.chart.axis 1->2: 2  2->1: 254
Axis.java: org.jfree.chart.axis HorizontalLogarithmicColorBarAxisTests.java: org.jfree.chart.axis.junit 1->2: 12  2->1: 0
TimeSeriesDemo4.java: org.jfree.chart.demo Day.java: org.jfree.data.time 1->2: 0  2->1: 12
XYSeriesDemo.java: org.jfree.chart.demo Series.java: org.jfree.data 1->2: 0  2->1: 24
TimeSeriesDemo6.java: org.jfree.chart.demo Series.java: org.jfree.data 1->2: 0  2->1: 29
VerticalBarRenderer3D.java: org.jfree.chart.renderer VerticalBarRenderer3DTests.java: org.jfree.chart.renderer.junit 1->2: 34  2->1: 0
HorizontalAxis.java: org.jfree.chart.axis CombinedXYPlot.java: org.jfree.chart.plot 1->2: 6  2->1: 10
Axis.java: org.jfree.chart.axis HorizontalNumberAxisTests.java: org.jfree.chart.axis.junit 1->2: 12  2->1: 0
CombinedXYPlot.java: org.jfree.chart.plot XYPlot.java: org.jfree.chart.plot 1->2: 109  2->1: 159
JFreeChart.java: org.jfree.chart VerticalBarChart3DTests.java: org.jfree.chart.junit 1->2: 14  2->1: 0
ChartFactory.java: org.jfree.chart TimeSeriesDemo.java: org.jfree.chart.demo 1->2: 2  2->1: 18
VerticalCategoryAxis.java: org.jfree.chart.axis Plot.java: org.jfree.chart.plot 1->2: 23  2->1: 44
DemoDatasetFactory.java: org.jfree.chart.demo Millisecond.java: org.jfree.data.time 1->2: 0  2->1: 57
VerticalLogarithmicColorBarAxis.java: org.jfree.chart.axis Range.java: org.jfree.data 1->2: 0  2->1: 25
Plot.java: org.jfree.chart.plot HorizontalShapeRenderer.java: org.jfree.chart.renderer 1->2: 34  2->1: 0
Marker.java: org.jfree.chart ContourPlot.java: org.jfree.chart.plot 1->2: 114  2->1: 2
ChartFactory.java: org.jfree.chart HorizontalDateAxis.java: org.jfree.chart.axis 1->2: 0  2->1: 64
Millisecond.java: org.jfree.data.time Second.java: org.jfree.data.time 1->2: 42  2->1: 80
VerticalNumberAxis3D.java: org.jfree.chart.axis Tick.java: org.jfree.chart.axis 1->2: 1  2->1: 39
XYSeries.java: org.jfree.data MovingAverage.java: org.jfree.data 1->2: 59  2->1: 0
AreaRenderer.java: org.jfree.chart.renderer AbstractCategoryItemRenderer.java: org.jfree.chart.renderer 1->2: 0  2->1: 13
CompassPlot.java: org.jfree.chart.plot ValueDataset.java: org.jfree.data 1->2: 0  2->1: 12
ChartPanel.java: org.jfree.chart Axis.java: org.jfree.chart.axis 1->2: 1  2->1: 152
JFreeChart.java: org.jfree.chart TimeSeriesDemo4.java: org.jfree.chart.demo 1->2: 12  2->1: 3
JFreeChart.java: org.jfree.chart OverlaidBarChartDemo.java: org.jfree.chart.demo 1->2: 13  2->1: 3
JFreeChart.java: org.jfree.chart StackedVerticalBarChartTests.java: org.jfree.chart.junit 1->2: 14  2->1: 0
JFreeChart.java: org.jfree.chart OverlaidXYPlotDemo.java: org.jfree.chart.demo 1->2: 19  2->1: 3
ScatterPlotDemo.java: org.jfree.chart.demo SampleXYDataset2.java: org.jfree.chart.demo 1->2: 21  2->1: 3
StackedHorizontalBarChartTests.java: org.jfree.chart.junit ChartPackageTests.java: org.jfree.chart.junit 1->2: 18  2->1: 3
ChartFrame.java: org.jfree.chart ChartPanel.java: org.jfree.chart 1->2: 0  2->1: 20
JFreeChart.java: org.jfree.chart MultiShapesXYDemo.java: org.jfree.chart.demo 1->2: 11  2->1: 3
TimeSeriesDemo.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 13
Month.java: org.jfree.data.time TimePeriodFormatException.java: org.jfree.data.time 1->2: 0  2->1: 14
ChartFactory.java: org.jfree.chart StackedAreaChartDemo.java: org.jfree.chart.demo 1->2: 2  2->1: 18
DefaultCategoryDataset.java: org.jfree.data DefaultIntervalCategoryDataset.java: org.jfree.data 1->2: 39  2->1: 42
JFreeChartDemoBase.java: org.jfree.chart.demo ThermometerPlot.java: org.jfree.chart.plot 1->2: 0  2->1: 30
PieChartDemo4.java: org.jfree.chart.demo PiePlot.java: org.jfree.chart.plot 1->2: 0  2->1: 18
LegendItemCollection.java: org.jfree.chart OverlaidVerticalCategoryPlot.java: org.jfree.chart.plot 1->2: 35  2->1: 5
Axis.java: org.jfree.chart.axis VerticalNumberAxisTests.java: org.jfree.chart.axis.junit 1->2: 12  2->1: 0
TimePeriodFormatException.java: org.jfree.data.time Week.java: org.jfree.data.time 1->2: 14  2->1: 0
JFreeChart.java: org.jfree.chart SymbolicXYPlotDemo.java: org.jfree.chart.demo 1->2: 87  2->1: 3
HorizontalBarChartDemo.java: org.jfree.chart.demo DatasetUtilities.java: org.jfree.data 1->2: 36  2->1: 4
PieChartTests.java: org.jfree.chart.junit DefaultPieDataset.java: org.jfree.data 1->2: 0  2->1: 12
HorizontalLogarithmicColorBarAxis.java: org.jfree.chart.axis Range.java: org.jfree.data 1->2: 0  2->1: 25
DemoDatasetFactory.java: org.jfree.chart.demo XYSeries.java: org.jfree.data 1->2: 2  2->1: 3197
ChartFactory.java: org.jfree.chart Plot.java: org.jfree.chart.plot 1->2: 0  2->1: 75
XYPlotTests.java: org.jfree.chart.plot.junit TimeSeries.java: org.jfree.data.time 1->2: 0  2->1: 62
MultiShapesXYDemo.java: org.jfree.chart.demo StandardXYItemRenderer.java: org.jfree.chart.renderer 1->2: 6  2->1: 24
CombinedXYPlotDemo2.java: org.jfree.chart.demo Plot.java: org.jfree.chart.plot 1->2: 2  2->1: 16
VerticalCategoryPlot.java: org.jfree.chart.plot MinMaxCategoryRenderer.java: org.jfree.chart.renderer 1->2: 27  2->1: 3
ChartFactory.java: org.jfree.chart TimeSeriesDemo7.java: org.jfree.chart.demo 1->2: 2  2->1: 18
CategoryPlot.java: org.jfree.chart.plot HorizontalBarRenderer.java: org.jfree.chart.renderer 1->2: 21  2->1: 0
PiePlot.java: org.jfree.chart.plot StrokeTable.java: org.jfree.chart.renderer 1->2: 4  2->1: 37
DefaultPieDataset.java: org.jfree.data DatasetUtilities.java: org.jfree.data 1->2: 51  2->1: 0
SeriesException.java: org.jfree.data TimeSeriesTests.java: org.jfree.data.time.junit 1->2: 12  2->1: 0
ChartTiming4.java: org.jfree.chart.demo FastScatterPlot.java: org.jfree.chart.plot 1->2: 31  2->1: 5
ContourPlot.java: org.jfree.chart.plot DefaultContourDataset.java: org.jfree.data 1->2: 0  2->1: 53
Marker.java: org.jfree.chart HorizontalBarRenderer3D.java: org.jfree.chart.renderer 1->2: 21  2->1: 2
ContourPlot.java: org.jfree.chart.plot ContourPlotTests.java: org.jfree.chart.plot.junit 1->2: 13  2->1: 0
CategoryPlot.java: org.jfree.chart.plot PlotPropertyEditPanel.java: org.jfree.chart.ui 1->2: 26  2->1: 0
Marker.java: org.jfree.chart VerticalBarRenderer3D.java: org.jfree.chart.renderer 1->2: 20  2->1: 2
UrlsPackageTests.java: org.jfree.chart.urls.junit CustomXYURLGeneratorTests.java: org.jfree.chart.urls.junit 1->2: 3  2->1: 11
TaskSeries.java: org.jfree.data Series.java: org.jfree.data 1->2: 11  2->1: 18
Axis.java: org.jfree.chart.axis CompassPlot.java: org.jfree.chart.plot 1->2: 48  2->1: 31
VerticalColorBarAxis.java: org.jfree.chart.axis VerticalNumberAxis.java: org.jfree.chart.axis 1->2: 44  2->1: 51
VerticalXYBarChartDemo2.java: org.jfree.chart.demo Day.java: org.jfree.data.time 1->2: 0  2->1: 60
MovingAverage.java: org.jfree.data TimeSeries.java: org.jfree.data.time 1->2: 0  2->1: 100
SeriesException.java: org.jfree.data TimeSeries.java: org.jfree.data.time 1->2: 26  2->1: 0
Plot.java: org.jfree.chart.plot CompassPlot.java: org.jfree.chart.plot 1->2: 56  2->1: 32
PaletteSample.java: org.jfree.chart.ui ColorBarPropertyEditPanel.java: org.jfree.chart.ui 1->2: 23  2->1: 0
TimeSeriesDemo4.java: org.jfree.chart.demo StandardXYItemRenderer.java: org.jfree.chart.renderer 1->2: 6  2->1: 17
SampleXYSymbolicDataset.java: org.jfree.chart.demo SampleYSymbolicDataset.java: org.jfree.chart.demo 1->2: 46  2->1: 61
Marker.java: org.jfree.chart MinMaxCategoryRenderer.java: org.jfree.chart.renderer 1->2: 16  2->1: 0
Axis.java: org.jfree.chart.axis VerticalColorBarAxisTests.java: org.jfree.chart.axis.junit 1->2: 12  2->1: 0
DefaultCategoryDataset.java: org.jfree.data DatasetUtilities.java: org.jfree.data 1->2: 64  2->1: 0
ChartFactory.java: org.jfree.chart TimeSeriesDemo8.java: org.jfree.chart.demo 1->2: 2  2->1: 18
XYStepChartDemo.java: org.jfree.chart.demo XYPlot.java: org.jfree.chart.plot 1->2: 207  2->1: 6
ChartRenderingInfo.java: org.jfree.chart HorizontalCategoryPlot.java: org.jfree.chart.plot 1->2: 18  2->1: 14
MeterLegend.java: org.jfree.chart DrawableLegendItem.java: org.jfree.chart 1->2: 2  2->1: 76
CombinedXYPlotTests.java: org.jfree.chart.plot.junit TimeSeriesCollection.java: org.jfree.data.time 1->2: 0  2->1: 16
DemoResources_pl.java: org.jfree.chart.demo.resources TimeSeries.java: org.jfree.data.time 1->2: 0  2->1: 12
ChartFactory.java: org.jfree.chart PieChartDemo1.java: org.jfree.chart.demo 1->2: 3  2->1: 18
JFreeChart.java: org.jfree.chart StackedHorizontalBarChartTests.java: org.jfree.chart.junit 1->2: 14  2->1: 0
XYItemRenderer.java: org.jfree.chart.renderer VerticalXYBarRenderer.java: org.jfree.chart.renderer 1->2: 11  2->1: 3
LongNeedle.java: org.jfree.chart.needle MeterNeedle.java: org.jfree.chart.needle 1->2: 2  2->1: 26
Axis.java: org.jfree.chart.axis Tick.java: org.jfree.chart.axis 1->2: 1  2->1: 70
RegularTimePeriod.java: org.jfree.data.time DynamicTimeSeriesCollection.java: org.jfree.data.time 1->2: 63  2->1: 0
SymbolicXYPlotDemo.java: org.jfree.chart.demo SubSeriesDataset.java: org.jfree.data 1->2: 0  2->1: 18
DemoResources_pl.java: org.jfree.chart.demo.resources Series.java: org.jfree.data 1->2: 0  2->1: 12
XYLogAxesDemo.java: org.jfree.chart.demo XYSeries.java: org.jfree.data 1->2: 0  2->1: 46
HorizontalNumberAxis.java: org.jfree.chart.axis HorizontalAxis.java: org.jfree.chart.axis 1->2: 14  2->1: 5
NumberAxis.java: org.jfree.chart.axis ParetoChartDemo.java: org.jfree.chart.demo 1->2: 12  2->1: 0
PriceVolumeDemo.java: org.jfree.chart.demo VerticalXYBarRenderer.java: org.jfree.chart.renderer 1->2: 5  2->1: 8
ChartPanel.java: org.jfree.chart JFreeChartDemo.java: org.jfree.chart.demo 1->2: 30  2->1: 7
