MSVSSGET.java; org.apache.tools.ant.taskdefs.optional.vss; Commandline.java; org.apache.tools.ant.types; 1->2; 1;  2->1; 43;
BorlandDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb; Path.java; org.apache.tools.ant.types; 1->2; 0;  2->1; 33;
ExecTask.java; org.apache.tools.ant.taskdefs; Cab.java; org.apache.tools.ant.taskdefs.optional; 1->2; 21;  2->1; 9;
ClassFile.java; org.apache.tools.ant.taskdefs.optional.sitraka.bytecode; AttributeInfo.java; org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.attributes; 1->2; 1;  2->1; 23;
Task.java; org.apache.tools.ant; CCUpdate.java; org.apache.tools.ant.taskdefs.optional.clearcase; 1->2; 43;  2->1; 2;
Project.java; org.apache.tools.ant; MAuditStreamHandler.java; org.apache.tools.ant.taskdefs.optional.metamata; 1->2; 23;  2->1; 1;
BuildException.java; org.apache.tools.ant; DefaultCompilerAdapter.java; org.apache.tools.ant.taskdefs.compilers; 1->2; 21;  2->1; 0;
Property.java; org.apache.tools.ant.taskdefs; PropertyFile.java; org.apache.tools.ant.taskdefs.optional; 1->2; 22;  2->1; 2;
Task.java; org.apache.tools.ant; DependSet.java; org.apache.tools.ant.taskdefs; 1->2; 24;  2->1; 2;
ConstantPool.java; org.apache.tools.ant.taskdefs.optional.depend.constantpool; Code.java; org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.attributes; 1->2; 23;  2->1; 4;
Ilasm.java; org.apache.tools.ant.taskdefs.optional.dotnet; NetCommand.java; org.apache.tools.ant.taskdefs.optional.dotnet; 1->2; 3;  2->1; 21;
Project.java; org.apache.tools.ant; CommandlineJava.java; org.apache.tools.ant.types; 1->2; 9;  2->1; 13;
Get.java; org.apache.tools.ant.taskdefs; GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb; 1->2; 9;  2->1; 11;
DefaultCompilerAdapter.java; org.apache.tools.ant.taskdefs.compilers; FileSet.java; org.apache.tools.ant.types; 1->2; 0;  2->1; 16;
Task.java; org.apache.tools.ant; XMLReport.java; org.apache.tools.ant.taskdefs.optional.sitraka; 1->2; 36;  2->1; 13;
Cvs.java; org.apache.tools.ant.taskdefs; Execute.java; org.apache.tools.ant.taskdefs; 1->2; 16;  2->1; 50;
Project.java; org.apache.tools.ant; EjbJar.java; org.apache.tools.ant.taskdefs.optional.ejb; 1->2; 90;  2->1; 3;
MethodInfo.java; org.apache.tools.ant.taskdefs.optional.sitraka.bytecode; Code.java; org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.attributes; 1->2; 18;  2->1; 14;
Target.java; org.apache.tools.ant; MParse.java; org.apache.tools.ant.taskdefs.optional.metamata; 1->2; 13;  2->1; 3;
Utf8CPInfo.java; org.apache.tools.ant.taskdefs.optional.depend.constantpool; ConstantPool.java; org.apache.tools.ant.taskdefs.optional.depend.constantpool; 1->2; 14;  2->1; 8;
Coverage.java; org.apache.tools.ant.taskdefs.optional.sitraka; CommandlineJava.java; org.apache.tools.ant.types; 1->2; 25;  2->1; 26;
BuildException.java; org.apache.tools.ant; Mkdir.java; org.apache.tools.ant.taskdefs; 1->2; 32;  2->1; 0;
MMetrics.java; org.apache.tools.ant.taskdefs.optional.metamata; AbstractMetamataTask.java; org.apache.tools.ant.taskdefs.optional.metamata; 1->2; 11;  2->1; 16;
IntrospectionHelper.java; org.apache.tools.ant; BuildEvent.java; org.apache.tools.ant; 1->2; 10;  2->1; 62;
BuildException.java; org.apache.tools.ant; ProjectHelper.java; org.apache.tools.ant; 1->2; 216;  2->1; 0;
ConstantPoolEntry.java; org.apache.tools.ant.taskdefs.optional.depend.constantpool; FloatCPInfo.java; org.apache.tools.ant.taskdefs.optional.depend.constantpool; 1->2; 6;  2->1; 12;
AntClassLoader.java; org.apache.tools.ant; Depend.java; org.apache.tools.ant.taskdefs.optional.depend; 1->2; 25;  2->1; 0;
Depend.java; org.apache.tools.ant.taskdefs.optional.depend; Path.java; org.apache.tools.ant.types; 1->2; 0;  2->1; 131;
BuildException.java; org.apache.tools.ant; Touch.java; org.apache.tools.ant.taskdefs; 1->2; 72;  2->1; 0;
WLStop.java; org.apache.tools.ant.taskdefs.optional.ejb; Path.java; org.apache.tools.ant.types; 1->2; 0;  2->1; 17;
MMetricsStreamHandler.java; org.apache.tools.ant.taskdefs.optional.metamata; MMetricsStreamHandler.java; org.apache.tools.ant.taskdefs.optional.metamata; 1->2; 0;  2->1; 25;
BuildException.java; org.apache.tools.ant; GZip.java; org.apache.tools.ant.taskdefs; 1->2; 32;  2->1; 0;
BuildException.java; org.apache.tools.ant; GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb; 1->2; 139;  2->1; 1;
