outputConfigurationBody; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;918
viewSpecification; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;241
documentDeleteMultiple; IncrementalIngester.java; org.apache.manifoldcf.agents.incrementalingest;229
addSeedDocuments; DCTM.java; org.apache.manifoldcf.crawler.connectors.DCTM;227
sanityCheck; APISanity.java; org.apache.manifoldcf.filesystem_tests;219
processDocuments; JDBCConnector.java; org.apache.manifoldcf.crawler.connectors.jdbc;218
doCanonicalization; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;214
checkInclude; SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive;211
getDocumentACLs; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;204
getDocumentVersions; DCTM.java; org.apache.manifoldcf.crawler.connectors.DCTM;202
enterLocksNoWait; LockManager.java; org.apache.manifoldcf.core.lockmanager;201
checkFetchAllowed; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;197
getFieldValues; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;197
getDocumentVersions; SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive;195
doCanonicalization; RSSConnector.java; org.apache.manifoldcf.crawler.connectors.rss;194
processSpecificationPost; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;191
getACLs; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;189
getDocLibID; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;188
parse; JSONML.java; org.json;188
enterLocks; LockManager.java; org.apache.manifoldcf.core.lockmanager;187
outputConfigurationBody; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;179
processDocuments; LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink;178
describeDocumentSecurity; SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive;175
outputSpecificationHeader; SharePointRepository.java; org.apache.manifoldcf.crawler.connectors.sharepoint;174
getSession; LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink;173
outputConfigurationHeader; SolrConnector.java; org.apache.manifoldcf.agents.output.solr;171
getDocuments; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;169
addData; DataCache.java; org.apache.manifoldcf.crawler.connectors.webcrawler;168
parse; XML.java; org.json;167
outputConfigurationBody; RSSConnector.java; org.apache.manifoldcf.crawler.connectors.rss;166
getAuthorizationResponse; AuthorityConnector.java; org.apache.manifoldcf.crawler.authorities.DCTM;163
getAuthorizationResponse; MeridioAuthority.java; org.apache.manifoldcf.crawler.connectors.meridio;163
noteConfigurationChange; ManifoldCF.java; org.apache.manifoldcf.core.system;163
match; CommonsHTTPSender.java; org.apache.manifoldcf.crawler.connectors.sharepoint;162
match; CommonsHTTPSender.java; org.apache.manifoldcf.crawler.connectors.meridio;162
processDocuments; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;162
getObject; Database.java; org.apache.manifoldcf.core.database;157
enterCriticalSections; LockManager.java; org.apache.manifoldcf.core.lockmanager;157
outputConfigurationBody; SharePointRepository.java; org.apache.manifoldcf.crawler.connectors.sharepoint;156
outputSpecificationBody; JDBCConnector.java; org.apache.manifoldcf.crawler.connectors.jdbc;156
processConfigurationPost; MeridioAuthority.java; org.apache.manifoldcf.crawler.connectors.meridio;153
outputConfigurationHeader; MeridioAuthority.java; org.apache.manifoldcf.crawler.connectors.meridio;153
getAuthorizationResponse; LivelinkAuthority.java; org.apache.manifoldcf.crawler.connectors.livelink;151
