Table.java: org.apache.cassandra.db DBManager.java: org.apache.cassandra.db 1->2: 52  2->1: 35
DatabaseDescriptor.java: org.apache.cassandra.config ColumnFamilyStore.java: org.apache.cassandra.db 1->2: 18  2->1: 3
SuperColumnRangeQueryRSD.java: org.apache.cassandra.cql.common Row.java: org.apache.cassandra.db 1->2: 0  2->1: 19
SuperColumn.java: org.apache.cassandra.db CassandraServer.java: org.apache.cassandra.service 1->2: 136  2->1: 2
AnalyticsContext.java: org.apache.cassandra.analytics Context.java: org.apache.cassandra.concurrent 1->2: 2  2->1: 84
RowMutation.java: org.apache.cassandra.db ReadResponseResolver.java: org.apache.cassandra.service 1->2: 37  2->1: 0
EndPoint.java: org.apache.cassandra.net StreamManager.java: org.apache.cassandra.service 1->2: 17  2->1: 1
ColumnFamily.java: org.apache.cassandra.db RangeFilterTest.java: org.apache.cassandra.db 1->2: 153  2->1: 0
ColumnFamily.java: org.apache.cassandra.db ColumnFamilyStore.java: org.apache.cassandra.db 1->2: 321  2->1: 10
DBAnalyticsSource.java: org.apache.cassandra.analytics MetricsRecord.java: org.apache.cassandra.analytics 1->2: 0  2->1: 54
HttpRequestHandler.java: org.apache.cassandra.net.http HttpRequest.java: org.apache.cassandra.net.http 1->2: 0  2->1: 58
Table.java: org.apache.cassandra.db Scanner.java: org.apache.cassandra.db 1->2: 13  2->1: 5
AnalyticsContext.java: org.apache.cassandra.analytics DatabaseDescriptor.java: org.apache.cassandra.config 1->2: 36  2->1: 2
NamesFilter.java: org.apache.cassandra.db RowMutation.java: org.apache.cassandra.db 1->2: 2  2->1: 14
IColumn.java: org.apache.cassandra.db AbstractColumnFactory.java: org.apache.cassandra.db 1->2: 33  2->1: 0
Table.java: org.apache.cassandra.db Message.java: org.apache.cassandra.net 1->2: 40  2->1: 72
DatabaseDescriptor.java: org.apache.cassandra.config StorageProxy.java: org.apache.cassandra.service 1->2: 28  2->1: 1
IColumn.java: org.apache.cassandra.db IndexHelper.java: org.apache.cassandra.io 1->2: 92  2->1: 1
IAsyncResult.java: org.apache.cassandra.net Message.java: org.apache.cassandra.net 1->2: 40  2->1: 4
SelectorManager.java: org.apache.cassandra.net MessagingService.java: org.apache.cassandra.net 1->2: 20  2->1: 1
TimedStatsDeque.java: org.apache.cassandra.utils AbstractStatsDeque.java: org.apache.cassandra.utils 1->2: 6  2->1: 11
UniqueKeyQueryRSD.java: org.apache.cassandra.cql.common Column.java: org.apache.cassandra.db 1->2: 0  2->1: 125
Table.java: org.apache.cassandra.db ColumnFamily.java: org.apache.cassandra.db 1->2: 123  2->1: 224
Table.java: org.apache.cassandra.db Importer.java: org.apache.cassandra.loader 1->2: 12  2->1: 36
Column.java: org.apache.cassandra.db RangeFilterTest.java: org.apache.cassandra.db 1->2: 330  2->1: 0
MultiQuorumResponseHandler.java: org.apache.cassandra.service ReadResponseResolver.java: org.apache.cassandra.service 1->2: 18  2->1: 3
AnalyticsContext.java: org.apache.cassandra.analytics DBAnalyticsSource.java: org.apache.cassandra.analytics 1->2: 57  2->1: 4
Table.java: org.apache.cassandra.db ChecksumRandomAccessFile.java: org.apache.cassandra.io 1->2: 30  2->1: 109
RangeReply.java: org.apache.cassandra.db StorageProxy.java: org.apache.cassandra.service 1->2: 87  2->1: 0
ReadResponse.java: org.apache.cassandra.db ReadResponse.java: org.apache.cassandra.db 1->2: 44  2->1: 7
MessageSerializationTask.java: org.apache.cassandra.net TcpConnection.java: org.apache.cassandra.net 1->2: 1  2->1: 22
ICachetable.java: org.apache.cassandra.utils Cachetable.java: org.apache.cassandra.utils 1->2: 38  2->1: 14
Row.java: org.apache.cassandra.db StorageProxy.java: org.apache.cassandra.service 1->2: 320  2->1: 0
FailureDetector.java: org.apache.cassandra.gms BoundedStatsDeque.java: org.apache.cassandra.utils 1->2: 13  2->1: 17
Row.java: org.apache.cassandra.db ConsistencyManager.java: org.apache.cassandra.service 1->2: 29  2->1: 0
Table.java: org.apache.cassandra.db KeyChecker.java: org.apache.cassandra.tools 1->2: 21  2->1: 1
LoadInfo.java: org.apache.cassandra.service StorageLoadBalancer.java: org.apache.cassandra.service 1->2: 48  2->1: 0
Column.java: org.apache.cassandra.db IFilter.java: org.apache.cassandra.db 1->2: 0  2->1: 20
SSTable.java: org.apache.cassandra.io PreLoad.java: org.apache.cassandra.loader 1->2: 22  2->1: 3
RowMutation.java: org.apache.cassandra.db ReadRepairVerbHandler.java: org.apache.cassandra.db 1->2: 22  2->1: 0
Table.java: org.apache.cassandra.db BootstrapInitiateMessage.java: org.apache.cassandra.dht 1->2: 4  2->1: 14
Table.java: org.apache.cassandra.db RowReadCommand.java: org.apache.cassandra.db 1->2: 13  2->1: 12
EndPoint.java: org.apache.cassandra.net MembershipCleanerVerbHandler.java: org.apache.cassandra.tools 1->2: 19  2->1: 0
MultiAsyncResult.java: org.apache.cassandra.net Message.java: org.apache.cassandra.net 1->2: 40  2->1: 8
CommitLog.java: org.apache.cassandra.db IFileWriter.java: org.apache.cassandra.io 1->2: 0  2->1: 61
BootStrapper.java: org.apache.cassandra.dht StorageService.java: org.apache.cassandra.service 1->2: 9  2->1: 26
ReadCommand.java: org.apache.cassandra.db ReadMessageTest.java: org.apache.cassandra.db 1->2: 21  2->1: 0
ColumnIndexer.java: org.apache.cassandra.db IndexHelper.java: org.apache.cassandra.io 1->2: 21  2->1: 16
IAsyncCallback.java: org.apache.cassandra.net MultiQuorumResponseHandler.java: org.apache.cassandra.service 1->2: 35  2->1: 3
OperandDef.java: org.apache.cassandra.cql.common SetColumnMap.java: org.apache.cassandra.cql.common 1->2: 29  2->1: 0
IColumn.java: org.apache.cassandra.db NameSortTest.java: org.apache.cassandra.db 1->2: 23  2->1: 0
MinorCompactionManager.java: org.apache.cassandra.db ColumnFamilyStore.java: org.apache.cassandra.db 1->2: 72  2->1: 30
Table.java: org.apache.cassandra.db DataFileVerbHandler.java: org.apache.cassandra.db 1->2: 21  2->1: 1
Range.java: org.apache.cassandra.dht ICompactSerializer.java: org.apache.cassandra.io 1->2: 7  2->1: 14
DatabaseDescriptor.java: org.apache.cassandra.config MultiQuorumResponseHandler.java: org.apache.cassandra.service 1->2: 6  2->1: 129
IColumn.java: org.apache.cassandra.db ColumnFamilyStore.java: org.apache.cassandra.db 1->2: 128  2->1: 0
CountFilter.java: org.apache.cassandra.db IColumn.java: org.apache.cassandra.db 1->2: 0  2->1: 21
Table.java: org.apache.cassandra.db ColumnsSinceReadCommand.java: org.apache.cassandra.db 1->2: 17  2->1: 12
TcpReader.java: org.apache.cassandra.net.io StartState.java: org.apache.cassandra.net.io 1->2: 14  2->1: 23
EndPointState.java: org.apache.cassandra.gms Gossiper.java: org.apache.cassandra.gms 1->2: 212  2->1: 16
EndPoint.java: org.apache.cassandra.net StorageProxy.java: org.apache.cassandra.service 1->2: 150  2->1: 0
FileStruct.java: org.apache.cassandra.db SSTableTest.java: org.apache.cassandra.io 1->2: 17  2->1: 0
DataInputBuffer.java: org.apache.cassandra.io ColumnFamilyTest.java: org.apache.cassandra.db 1->2: 18  2->1: 0
ResponseVerbHandler.java: org.apache.cassandra.net IAsyncResult.java: org.apache.cassandra.net 1->2: 0  2->1: 19
ColumnFamily.java: org.apache.cassandra.db AbstractColumnFactory.java: org.apache.cassandra.db 1->2: 16  2->1: 36
StorageService.java: org.apache.cassandra.service LoadInfo.java: org.apache.cassandra.service 1->2: 1  2->1: 15
EndPoint.java: org.apache.cassandra.net MessagingService.java: org.apache.cassandra.net 1->2: 89  2->1: 10
Table.java: org.apache.cassandra.db StreamContextManager.java: org.apache.cassandra.net.io 1->2: 74  2->1: 21
Table.java: org.apache.cassandra.db FBUtilities.java: org.apache.cassandra.utils 1->2: 59  2->1: 8
Row.java: org.apache.cassandra.db Loader.java: org.apache.cassandra.loader 1->2: 69  2->1: 0
GossipDigestSynMessage.java: org.apache.cassandra.gms CompactEndPointSerializationHelper.java: org.apache.cassandra.net 1->2: 3  2->1: 14
ColumnFamily.java: org.apache.cassandra.db ICompactSerializer2.java: org.apache.cassandra.db 1->2: 6  2->1: 25
ReadVerbHandler.java: org.apache.cassandra.db StorageService.java: org.apache.cassandra.service 1->2: 2  2->1: 14
IMessagingService.java: org.apache.cassandra.net Message.java: org.apache.cassandra.net 1->2: 0  2->1: 33
ContentLengthState.java: org.apache.cassandra.net.io StartState.java: org.apache.cassandra.net.io 1->2: 6  2->1: 10
ConsistencyManager.java: org.apache.cassandra.service ICachetable.java: org.apache.cassandra.utils 1->2: 0  2->1: 21
BinaryVerbHandler.java: org.apache.cassandra.db Row.java: org.apache.cassandra.db 1->2: 0  2->1: 24
IContinuable.java: org.apache.cassandra.concurrent ContinuationsExecutor.java: org.apache.cassandra.concurrent 1->2: 78  2->1: 0
Message.java: org.apache.cassandra.net MultiQuorumResponseHandler.java: org.apache.cassandra.service 1->2: 57  2->1: 24
BootstrapInitiateMessage.java: org.apache.cassandra.dht Message.java: org.apache.cassandra.net 1->2: 4  2->1: 43
BootstrapMetadataMessage.java: org.apache.cassandra.dht ICompactSerializer.java: org.apache.cassandra.io 1->2: 7  2->1: 9
DebuggableThreadPoolExecutor.java: org.apache.cassandra.concurrent HttpConnection.java: org.apache.cassandra.net.http 1->2: 3  2->1: 20
SSTable.java: org.apache.cassandra.io KeyExtracter.java: org.apache.cassandra.tools 1->2: 14  2->1: 7
IStage.java: org.apache.cassandra.concurrent SingleThreadedContinuationStage.java: org.apache.cassandra.concurrent 1->2: 26  2->1: 34
HintedHandOffManager.java: org.apache.cassandra.db Message.java: org.apache.cassandra.net 1->2: 0  2->1: 25
Table.java: org.apache.cassandra.db OneCompactionTest.java: org.apache.cassandra.db 1->2: 24  2->1: 0
TimeFilter.java: org.apache.cassandra.db IndexHelper.java: org.apache.cassandra.io 1->2: 18  2->1: 1
RowMutation.java: org.apache.cassandra.db RemoveColumnFamilyWithFlush1Test.java: org.apache.cassandra.db 1->2: 31  2->1: 0
ColumnFamilyStore.java: org.apache.cassandra.db DataOutputBuffer.java: org.apache.cassandra.io 1->2: 0  2->1: 31
Column.java: org.apache.cassandra.db ColumnFamilyType.java: org.apache.cassandra.loader 1->2: 177  2->1: 0
ColumnFamily.java: org.apache.cassandra.db FBUtilities.java: org.apache.cassandra.utils 1->2: 13  2->1: 12
DBManager.java: org.apache.cassandra.db StorageService.java: org.apache.cassandra.service 1->2: 51  2->1: 11
RowMutation.java: org.apache.cassandra.db RowMutation.java: org.apache.cassandra.db 1->2: 40  2->1: 7
ReadResponse.java: org.apache.cassandra.db StorageService.java: org.apache.cassandra.service 1->2: 31  2->1: 3
IFailureDetector.java: org.apache.cassandra.gms FailureDetector.java: org.apache.cassandra.gms 1->2: 12  2->1: 10
BootstrapInitiateMessage.java: org.apache.cassandra.dht ICompactSerializer.java: org.apache.cassandra.io 1->2: 7  2->1: 9
PreLoad.java: org.apache.cassandra.loader StorageService.java: org.apache.cassandra.service 1->2: 2  2->1: 20
Message.java: org.apache.cassandra.net TokenUpdateVerbHandler.java: org.apache.cassandra.tools 1->2: 20  2->1: 0
SetUniqueKey.java: org.apache.cassandra.cql.common Column.java: org.apache.cassandra.db 1->2: 0  2->1: 96
HTMLFormatter.java: org.apache.cassandra.net.http HttpRequestHandler.java: org.apache.cassandra.net.http 1->2: 243  2->1: 0
LeaveJoinProtocolImpl.java: org.apache.cassandra.dht BigIntegerToken.java: org.apache.cassandra.dht 1->2: 0  2->1: 30
ColumnFamily.java: org.apache.cassandra.db SystemTable.java: org.apache.cassandra.db 1->2: 18  2->1: 70
HttpConnection.java: org.apache.cassandra.net.http StorageService.java: org.apache.cassandra.service 1->2: 29  2->1: 8
MultiAsyncResult.java: org.apache.cassandra.net AsyncResult.java: org.apache.cassandra.net 1->2: 32  2->1: 44
TcpConnection.java: org.apache.cassandra.net TcpReader.java: org.apache.cassandra.net.io 1->2: 16  2->1: 31
SSTable.java: org.apache.cassandra.io LogUtil.java: org.apache.cassandra.utils 1->2: 27  2->1: 10
OperandDef.java: org.apache.cassandra.cql.common SetUniqueKey.java: org.apache.cassandra.cql.common 1->2: 23  2->1: 0
DataInputBuffer.java: org.apache.cassandra.io StorageProxy.java: org.apache.cassandra.service 1->2: 16  2->1: 0
ColumnFamily.java: org.apache.cassandra.db ReadMessageTest.java: org.apache.cassandra.db 1->2: 23  2->1: 0
ColumnIndexer.java: org.apache.cassandra.db BloomFilter.java: org.apache.cassandra.utils 1->2: 6  2->1: 38
HttpConnection.java: org.apache.cassandra.net.http HttpRequest.java: org.apache.cassandra.net.http 1->2: 5  2->1: 21
Table.java: org.apache.cassandra.db CalloutManager.java: org.apache.cassandra.db 1->2: 22  2->1: 15
FileStreamTask.java: org.apache.cassandra.net TcpConnection.java: org.apache.cassandra.net 1->2: 1  2->1: 22
MessagingService.java: org.apache.cassandra.net QuorumResponseHandler.java: org.apache.cassandra.service 1->2: 4  2->1: 59
Message.java: org.apache.cassandra.net Message.java: org.apache.cassandra.net 1->2: 39  2->1: 5
MessagingService.java: org.apache.cassandra.net ProtocolHeaderState.java: org.apache.cassandra.net.io 1->2: 52  2->1: 19
Range.java: org.apache.cassandra.dht Range.java: org.apache.cassandra.dht 1->2: 15  2->1: 5
MessagingConfig.java: org.apache.cassandra.net MessagingService.java: org.apache.cassandra.net 1->2: 8  2->1: 11
ContentState.java: org.apache.cassandra.net.io StartState.java: org.apache.cassandra.net.io 1->2: 6  2->1: 10
FailureDetector.java: org.apache.cassandra.gms Gossiper.java: org.apache.cassandra.gms 1->2: 42  2->1: 17
Table.java: org.apache.cassandra.db DBTest.java: org.apache.cassandra.test 1->2: 47  2->1: 1
Token.java: org.apache.cassandra.dht RackUnawareStrategyTest.java: org.apache.cassandra.locator 1->2: 55  2->1: 0
Table.java: org.apache.cassandra.db IColumn.java: org.apache.cassandra.db 1->2: 10  2->1: 69
Message.java: org.apache.cassandra.net StorageLoadBalancer.java: org.apache.cassandra.service 1->2: 64  2->1: 0
Column.java: org.apache.cassandra.db CassandraServer.java: org.apache.cassandra.service 1->2: 532  2->1: 0
Row.java: org.apache.cassandra.db ReadResponse.java: org.apache.cassandra.db 1->2: 19  2->1: 3
SetColumnMap.java: org.apache.cassandra.cql.common Column.java: org.apache.cassandra.db 1->2: 0  2->1: 113
SelectorManager.java: org.apache.cassandra.net TcpConnection.java: org.apache.cassandra.net 1->2: 29  2->1: 11
SuperColumnRangeQueryRSD.java: org.apache.cassandra.cql.common Column.java: org.apache.cassandra.db 1->2: 0  2->1: 111
Table.java: org.apache.cassandra.db RemoveColumnFamilyTest.java: org.apache.cassandra.db 1->2: 19  2->1: 0
Message.java: org.apache.cassandra.net TestRunner.java: org.apache.cassandra.test 1->2: 28  2->1: 0
Table.java: org.apache.cassandra.db TimeFilter.java: org.apache.cassandra.db 1->2: 13  2->1: 22
ColumnFamily.java: org.apache.cassandra.db Importer.java: org.apache.cassandra.loader 1->2: 25  2->1: 4
MessageDeliveryTask.java: org.apache.cassandra.net Message.java: org.apache.cassandra.net 1->2: 0  2->1: 19
GossipDigestAck2Message.java: org.apache.cassandra.gms GossipDigestSynMessage.java: org.apache.cassandra.gms 1->2: 11  2->1: 8
LoadVerbHandler.java: org.apache.cassandra.db Message.java: org.apache.cassandra.net 1->2: 0  2->1: 24
CFMetaData.java: org.apache.cassandra.config Column.java: org.apache.cassandra.db 1->2: 0  2->1: 30
DataOutputBuffer.java: org.apache.cassandra.io TestRunner.java: org.apache.cassandra.test 1->2: 25  2->1: 0
TokenMetadata.java: org.apache.cassandra.locator EndPoint.java: org.apache.cassandra.net 1->2: 1  2->1: 78
ColumnFamily.java: org.apache.cassandra.db ChecksumRandomAccessFile.java: org.apache.cassandra.io 1->2: 31  2->1: 40
NamesFilter.java: org.apache.cassandra.db IFilter.java: org.apache.cassandra.db 1->2: 6  2->1: 30
BloomFilter.java: org.apache.cassandra.utils BloomFilterTest.java: org.apache.cassandra.utils 1->2: 45  2->1: 2
SuperColumn.java: org.apache.cassandra.db ICompactSerializer2.java: org.apache.cassandra.db 1->2: 26  2->1: 21
BootstrapMetadata.java: org.apache.cassandra.dht BootstrapMetadata.java: org.apache.cassandra.dht 1->2: 11  2->1: 5
EndPoint.java: org.apache.cassandra.net HttpRequestHandler.java: org.apache.cassandra.net.http 1->2: 82  2->1: 0
SliceReadCommand.java: org.apache.cassandra.db Row.java: org.apache.cassandra.db 1->2: 3  2->1: 23
GossipDigest.java: org.apache.cassandra.gms GossipDigestSynMessage.java: org.apache.cassandra.gms 1->2: 21  2->1: 4
Message.java: org.apache.cassandra.net HttpConnection.java: org.apache.cassandra.net.http 1->2: 48  2->1: 0
Header.java: org.apache.cassandra.net EndPoint.java: org.apache.cassandra.net 1->2: 0  2->1: 16
IndexHelper.java: org.apache.cassandra.io SequenceFile.java: org.apache.cassandra.io 1->2: 37  2->1: 1
PeriodicFlushManager.java: org.apache.cassandra.db StorageService.java: org.apache.cassandra.service 1->2: 45  2->1: 12
Token.java: org.apache.cassandra.dht OrderPreservingPartitioner.java: org.apache.cassandra.dht 1->2: 33  2->1: 2
StorageService.java: org.apache.cassandra.service FileUtils.java: org.apache.cassandra.utils 1->2: 4  2->1: 16
IColumn.java: org.apache.cassandra.db RangeFilterTest.java: org.apache.cassandra.db 1->2: 35  2->1: 0
AsyncResult.java: org.apache.cassandra.net MessagingService.java: org.apache.cassandra.net 1->2: 118  2->1: 0
IColumn.java: org.apache.cassandra.db TestRunner.java: org.apache.cassandra.test 1->2: 24  2->1: 0
Table.java: org.apache.cassandra.db Loader.java: org.apache.cassandra.loader 1->2: 98  2->1: 6
BloomFilter.java: org.apache.cassandra.utils BloomFilter.java: org.apache.cassandra.utils 1->2: 20  2->1: 8
EndPointState.java: org.apache.cassandra.gms ICompactSerializer.java: org.apache.cassandra.io 1->2: 7  2->1: 17
ThreadListBuilder.java: org.apache.cassandra.tools BloomFilter.java: org.apache.cassandra.utils 1->2: 0  2->1: 30
StorageService.java: org.apache.cassandra.service ReadRepairManager.java: org.apache.cassandra.service 1->2: 3  2->1: 36
EndPoint.java: org.apache.cassandra.net DBTest.java: org.apache.cassandra.test 1->2: 24  2->1: 0
SuperColumn.java: org.apache.cassandra.db CountFilter.java: org.apache.cassandra.db 1->2: 31  2->1: 0
ConsistencyManager.java: org.apache.cassandra.service Cachetable.java: org.apache.cassandra.utils 1->2: 1  2->1: 25
