,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,project,is_god_class
708,Public Class,org.apache.cassandra.cache.RowCacheKey,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,3.0,6.0,6.0,0.0,,0.0,0.0,,,,9.0,2.0,9.0,9.0,0.0,0.0,0.0,9.0,,82,11,52,17,17,19,,,,19,32,14,18,,,,,,4.0,4.0,5.0,4.0,,1.0,1,,27.0,16.0,0.37,15,15,16,12,cassandra,False
718,Public Class,org.apache.cassandra.cache.RowCacheSentinel,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,,,,4.0,1.0,4.0,4.0,1.0,0.0,0.0,3.0,,34,6,25,10,7,3,,,,8,14,8,6,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.12,5,5,5,4,cassandra,False
749,Public Class,org.apache.cassandra.cache.SerializingCacheProvider,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,43,3,40,7,18,1,,,,10,19,7,12,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.03,1,1,1,1,cassandra,False
756,Public Class,org.apache.cassandra.cli.CliClient,5.0,4.0,5.0,1.0,31.0,3.0,24.0,3.0,1.0,32.0,32.0,0.0,,1.0,1.0,,,,85.0,11.0,86.0,86.0,0.0,76.0,0.0,10.0,,3106,437,2315,467,1424,364,,,,1009,1414,451,963,,,,,,32.0,21.0,32.0,11.0,,1.0,4,,85.0,78.0,0.16,437,388,468,164,cassandra,False
867,Public Class,org.apache.cassandra.cli.CliCommandHelp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,21,0,4,3,0,17,,,,2,3,3,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,4.25,0,0,0,0,cassandra,False
868,Public Class,org.apache.cassandra.cli.CliCompiler,2.0,2.0,2.0,1.0,12.0,1.0,9.0,0.0,1.0,2.0,2.0,0.0,,8.0,0.0,,,,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,,160,25,100,22,43,35,,,,32,57,24,33,,,,,,5.0,5.0,6.0,3.0,,1.0,2,,0.0,0.0,0.35,17,17,19,12,cassandra,False
880,Public Class,org.apache.cassandra.cli.CliCompleter,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,,,,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,,81,3,61,51,48,17,,,,4,7,5,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,50.0,50.0,0.28,2,2,2,2,cassandra,False
883,Public Class,org.apache.cassandra.cli.CliMain,5.0,5.0,6.0,3.0,38.0,5.0,30.0,3.0,1.0,7.0,7.0,0.0,,9.0,7.0,,,,0.0,0.0,9.0,9.0,0.0,2.0,0.0,7.0,,389,56,285,41,165,53,,,,118,163,43,120,,,,,,15.0,15.0,17.0,10.0,,1.0,2,,72.0,59.0,0.19,52,52,58,27,cassandra,False
893,Public Class,org.apache.cassandra.cli.CliOptions,9.0,9.0,9.0,1.0,63.0,8.0,51.0,3.0,1.0,2.0,2.0,0.0,,1.0,19.0,,,,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,,235,29,157,29,92,50,,,,70,93,28,65,,,,,,18.0,18.0,18.0,1.0,,1.0,2,,0.0,0.0,0.32,19,19,19,2,cassandra,False
899,Public Class,org.apache.cassandra.cli.CliSessionState,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,17.0,5.0,5.0,0.0,0.0,0.0,5.0,,82,7,52,23,20,37,,,,26,33,23,10,,,,,,3.0,3.0,4.0,1.0,,1.0,1,,87.0,87.0,0.71,7,7,8,5,cassandra,False
905,Public Class,org.apache.cassandra.cli.CliUserHelp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,25,2,6,4,0,17,,,,3,4,4,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,2.83,0,0,0,0,cassandra,False
906,Public Class,org.apache.cassandra.cli.CliUtils,2.0,2.0,2.0,2.0,13.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,,7.0,0.0,,,,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,,100,11,64,9,26,25,,,,17,36,11,25,,,,,,6.0,6.0,6.0,6.0,,1.0,2,,0.0,0.0,0.39,17,17,18,14,cassandra,False
915,Public Class,org.apache.cassandra.client.RingCache,2.0,2.0,2.0,1.0,13.0,0.0,11.0,0.0,1.0,5.0,5.0,0.0,,0.0,1.0,,,,5.0,3.0,5.0,5.0,0.0,0.0,0.0,5.0,,101,11,66,16,30,25,,,,23,38,19,19,,,,,,7.0,7.0,7.0,3.0,,1.0,4,,46.0,26.0,0.38,13,13,13,7,cassandra,False
930,Public Class,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,,62,7,46,13,11,9,,,,10,20,10,10,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.2,5,5,5,5,cassandra,False
939,Public Class,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,1.0,1.0,1.0,2.0,,5.0,2.0,,,,7.0,0.0,12.0,12.0,0.0,0.0,4.0,8.0,,172,13,101,19,43,58,,,,28,51,18,33,,,,,,5.0,5.0,6.0,5.0,,2.0,2,,83.0,66.0,0.57,19,19,21,16,cassandra,False
958,Public Class,org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,29.0,0.0,0.0,0.0,1.0,,29,1,11,7,1,17,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,4.0,0,,0.0,0.0,1.55,1,1,1,1,cassandra,False
963,Public Class,org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,2.0,2.0,2.0,1.0,,0.0,0.0,,,,16.0,3.0,16.0,28.0,0.0,1.0,3.0,12.0,,164,19,113,37,33,32,,,,28,49,21,28,,,,,,2.0,2.0,2.0,1.0,,3.0,1,,83.0,68.0,0.28,20,20,20,16,cassandra,False
983,Public Class,org.apache.cassandra.concurrent.NamedThreadFactory,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,,49,4,23,9,9,22,,,,11,15,9,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,44.0,22.0,0.96,3,3,3,3,cassandra,False
992,Public Class,org.apache.cassandra.concurrent.StageManager,1.0,1.0,1.0,1.0,9.0,0.0,7.0,1.0,1.0,6.0,6.0,0.0,,5.0,3.0,,,,0.0,0.0,5.0,5.0,0.0,3.0,0.0,2.0,,96,8,58,10,35,31,,,,19,27,10,17,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,60.0,60.0,0.53,6,6,6,5,cassandra,False
999,Public Class,org.apache.cassandra.config.Avro,8.0,8.0,10.0,1.0,42.0,3.0,36.0,2.0,1.0,13.0,13.0,0.0,,4.0,0.0,,,,0.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,,181,16,152,30,91,14,,,,54,88,29,59,,,,,,17.0,17.0,18.0,4.0,,1.0,3,,0.0,0.0,0.09,34,34,41,7,cassandra,False
1004,Public Class,org.apache.cassandra.config.CFMetaData,2.0,2.0,2.0,1.0,11.0,0.0,10.0,1.0,1.0,38.0,38.0,0.0,,19.0,22.0,,,,72.0,25.0,91.0,91.0,4.0,13.0,0.0,74.0,,1339,151,1065,198,710,146,,,,442,673,213,460,,,,,,30.0,30.0,33.0,5.0,,1.0,4,,87.0,72.0,0.14,223,223,239,105,cassandra,False
1101,Public Class,org.apache.cassandra.config.ColumnDefinition,2.0,2.0,2.0,1.0,10.0,0.0,8.0,0.0,1.0,25.0,25.0,0.0,,10.0,0.0,,,,16.0,6.0,26.0,26.0,0.0,0.0,0.0,26.0,,305,46,240,54,142,19,,,,97,149,53,96,,,,,,12.0,12.0,13.0,8.0,,1.0,3,,68.0,33.0,0.08,66,66,72,33,cassandra,False
1128,Public Class,org.apache.cassandra.config.Config,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,8.0,8.0,0.0,,4.0,2.0,,,,0.0,79.0,4.0,4.0,0.0,0.0,0.0,4.0,,158,37,115,97,59,8,,,,85,93,89,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,98.0,98.0,0.07,4,4,4,4,cassandra,False
1142,Public Class,org.apache.cassandra.config.ConfigurationException,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,29,1,11,3,2,17,,,,2,5,3,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,1.55,2,2,2,2,cassandra,False
1145,Public Class,org.apache.cassandra.config.DatabaseDescriptor,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,34.0,34.0,0.0,,97.0,18.0,,,,0.0,0.0,97.0,97.0,2.0,2.0,0.0,93.0,,1017,151,810,135,361,60,,,,264,444,137,307,,,,,,69.0,69.0,78.0,4.0,,1.0,4,,93.0,93.0,0.07,182,182,192,100,cassandra,False
1245,Public Class,org.apache.cassandra.config.EncryptionOptions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,21,2,19,15,9,0,,,,9,11,11,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.0,0,0,0,0,cassandra,False
1249,Public Class,org.apache.cassandra.config.KSMetaData,1.0,1.0,1.0,1.0,10.0,0.0,8.0,1.0,1.0,22.0,22.0,0.0,,12.0,0.0,,,,11.0,5.0,23.0,23.0,1.0,0.0,0.0,22.0,,288,39,205,52,119,44,,,,78,123,57,66,,,,,,5.0,5.0,6.0,1.0,,1.0,2,,67.0,32.0,0.21,39,39,43,23,cassandra,False
1273,Public Class,org.apache.cassandra.config.RequestSchedulerOptions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,12,1,8,6,4,3,,,,5,6,6,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.38,0,0,0,0,cassandra,False
1274,Public Class,org.apache.cassandra.config.Schema,1.0,1.0,1.0,1.0,11.0,0.0,5.0,5.0,1.0,12.0,12.0,0.0,,0.0,5.0,,,,32.0,5.0,32.0,32.0,0.0,0.0,0.0,32.0,,472,55,210,55,92,207,,,,80,130,59,71,,,,,,4.0,4.0,6.0,4.0,,1.0,3,,86.0,74.0,0.99,48,48,51,35,cassandra,False
1307,Public Class,org.apache.cassandra.config.SeedProviderDef,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,,28,1,10,4,2,17,,,,4,6,4,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,1.7,1,1,1,1,cassandra,False
1322,Public Class,org.apache.cassandra.cql.AlterTableStatement,5.0,4.0,5.0,2.0,26.0,3.0,22.0,0.0,1.0,11.0,11.0,0.0,,1.0,0.0,,,,5.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,,174,28,146,18,91,1,,,,50,82,20,62,,,,,,15.0,12.0,17.0,8.0,,1.0,4,,53.0,19.0,0.01,30,27,32,13,cassandra,False
1332,Public Class,org.apache.cassandra.cql.Attributes,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,9.0,3.0,9.0,9.0,0.0,0.0,0.0,9.0,,55,10,42,13,10,3,,,,13,23,13,10,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,55.0,55.0,0.07,9,9,9,9,cassandra,False
1342,Public Class,org.apache.cassandra.cql.BatchStatement,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,7.0,4.0,7.0,7.0,0.0,0.0,0.0,7.0,,70,12,43,14,13,15,,,,16,26,14,12,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,57.0,57.0,0.35,8,8,8,7,cassandra,False
1350,Public Class,org.apache.cassandra.cql.CFPropDefs,3.0,3.0,3.0,1.0,14.0,1.0,12.0,0.0,1.0,4.0,4.0,0.0,,0.0,19.0,,,,11.0,4.0,11.0,11.0,0.0,0.0,0.0,11.0,,248,31,204,48,135,16,,,,100,134,51,83,,,,,,15.0,15.0,18.0,3.0,,1.0,2,,72.0,69.0,0.08,33,33,36,13,cassandra,False
1362,Public Class,org.apache.cassandra.cql.CQLStatement,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,13,1,12,5,4,0,,,,6,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,cassandra,False
1364,Public Class,org.apache.cassandra.cql.CreateColumnFamilyStatement,1.0,1.0,1.0,1.0,10.0,0.0,8.0,0.0,1.0,11.0,11.0,0.0,,0.0,0.0,,,,15.0,5.0,15.0,15.0,0.0,6.0,0.0,9.0,,186,28,142,31,75,16,,,,42,70,32,38,,,,,,6.0,6.0,7.0,1.0,,1.0,2,,73.0,70.0,0.11,26,26,28,15,cassandra,False
1380,Public Class,org.apache.cassandra.cql.CreateIndexStatement,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,,32,4,24,8,6,4,,,,9,14,8,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,50.0,50.0,0.17,4,4,4,4,cassandra,False
1385,Public Class,org.apache.cassandra.cql.CreateKeyspaceStatement,1.0,1.0,1.0,1.0,8.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,5.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,,56,6,33,10,12,17,,,,12,22,11,11,,,,,,4.0,4.0,5.0,1.0,,1.0,2,,60.0,60.0,0.52,8,8,9,5,cassandra,False
1391,Public Class,org.apache.cassandra.cql.DeleteStatement,1.0,1.0,1.0,1.0,10.0,1.0,8.0,0.0,1.0,12.0,12.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,18.0,0.0,0.0,0.0,7.0,,87,16,65,17,30,6,,,,23,36,18,18,,,,,,5.0,5.0,5.0,1.0,,2.0,2,,42.0,21.0,0.09,12,12,12,7,cassandra,False
1399,Public Class,org.apache.cassandra.cql.DropIndexStatement,2.0,2.0,3.0,2.0,12.0,1.0,10.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,,44,8,36,8,16,0,,,,12,23,9,14,,,,,,4.0,4.0,5.0,3.0,,1.0,2,,0.0,0.0,0.0,8,8,10,7,cassandra,False
1403,Public Class,org.apache.cassandra.cql.Operation,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,,36,5,29,9,10,2,,,,10,16,8,8,,,,,,2.0,2.0,2.0,1.0,,1.0,0,,8.0,8.0,0.07,5,5,6,4,cassandra,False
1411,Public Class,org.apache.cassandra.cql.QueryProcessor,5.0,5.0,6.0,2.0,34.0,4.0,28.0,1.0,1.0,57.0,57.0,0.0,,27.0,4.0,,,,0.0,0.0,27.0,27.0,0.0,19.0,0.0,8.0,,959,141,783,146,508,40,,,,333,471,143,328,,,,,,63.0,50.0,67.0,25.0,,1.0,6,,0.0,0.0,0.05,150,137,173,62,cassandra,False
1439,Public Class,org.apache.cassandra.cql.Relation,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,5.0,3.0,5.0,5.0,0.0,0.0,0.0,5.0,,46,5,29,10,7,12,,,,10,16,9,7,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,40.0,40.0,0.41,5,5,5,5,cassandra,False
1449,Public Class,org.apache.cassandra.cql.SelectExpression,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,,,,15.0,7.0,15.0,15.0,0.0,0.0,0.0,15.0,,139,17,88,23,36,35,,,,33,49,23,26,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,72.0,70.0,0.4,15,15,15,15,cassandra,False
1465,Public Class,org.apache.cassandra.cql.SelectStatement,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,28.0,7.0,28.0,28.0,0.0,0.0,0.0,28.0,,168,27,136,37,41,5,,,,41,70,36,34,,,,,,2.0,2.0,2.0,1.0,,1.0,0,,79.0,79.0,0.04,29,29,30,28,cassandra,False
1497,Public Class,org.apache.cassandra.cql.Term,2.0,2.0,2.0,1.0,10.0,0.0,7.0,2.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,13.0,3.0,13.0,13.0,0.0,0.0,1.0,12.0,,156,18,103,22,50,36,,,,37,63,20,43,,,,,,9.0,9.0,9.0,9.0,,1.0,2,,61.0,56.0,0.35,32,29,32,23,cassandra,False
1515,Public Class,org.apache.cassandra.cql.UpdateStatement,2.0,2.0,2.0,1.0,14.0,1.0,9.0,3.0,1.0,14.0,14.0,0.0,,0.0,0.0,,,,16.0,4.0,16.0,27.0,0.0,1.0,0.0,15.0,,266,43,163,43,80,60,,,,58,93,35,58,,,,,,8.0,8.0,8.0,1.0,,2.0,3,,78.0,62.0,0.37,34,34,35,16,cassandra,False
1532,Public Class,org.apache.cassandra.cql.WhereClause,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,17.0,9.0,17.0,17.0,0.0,0.0,0.0,17.0,,170,21,119,26,50,32,,,,33,60,27,33,,,,,,9.0,9.0,11.0,1.0,,1.0,3,,81.0,80.0,0.27,26,26,28,17,cassandra,False
1575,Public Class,org.apache.cassandra.cql.jdbc.JdbcAscii,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,1.0,,,,13.0,0.0,13.0,25.0,1.0,0.0,0.0,12.0,,73,13,60,15,16,0,,,,14,29,15,14,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,14,14,14,13,cassandra,False
1589,Public Class,org.apache.cassandra.cql.jdbc.JdbcBoolean,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,1.0,,,,13.0,0.0,13.0,25.0,1.0,0.0,0.0,12.0,,79,14,65,17,21,2,,,,17,33,17,16,,,,,,4.0,4.0,4.0,1.0,,2.0,1,,0.0,0.0,0.03,19,19,19,13,cassandra,False
1603,Public Class,org.apache.cassandra.cql.jdbc.JdbcBytes,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,,,,13.0,0.0,13.0,25.0,1.0,0.0,0.0,12.0,,66,13,53,15,13,0,,,,13,27,15,12,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,13,13,13,13,cassandra,False
1617,Public Class,org.apache.cassandra.cql.jdbc.JdbcCounterColumn,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,,1.0,0.0,1.0,26.0,1.0,0.0,0.0,0.0,,6,1,5,3,1,0,,,,1,3,3,0,,,,,,1.0,1.0,1.0,1.0,,3.0,0,,0.0,0.0,0.0,1,1,1,1,cassandra,False
1619,Public Class,org.apache.cassandra.cql.jdbc.JdbcDate,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,4.0,,,,13.0,0.0,13.0,25.0,1.0,0.0,0.0,12.0,,101,16,84,20,35,1,,,,19,36,19,17,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,0.0,0.0,0.01,17,17,17,13,cassandra,False
