QueueTuple_5.java: org.apache.qpid.server.store.berkeleydb.tuples	QueueTuple_4.java: org.apache.qpid.server.store.berkeleydb.tuples	
SustainedTestCase.java: org.apache.qpid.sustained	FrameworkBaseCase.java: org.apache.qpid.test.framework	
SustainedClientTestCase.java: org.apache.qpid.sustained	TestCase3BasicPubSub.java: org.apache.qpid.interop.clienttestcases	
PingLatencyTestPerf.java: org.apache.qpid.ping	PingTestPerf.java: org.apache.qpid.ping	
PingClient.java: org.apache.qpid.ping	PingPongProducer.java: org.apache.qpid.requestreply	
PingSendOnlyClient.java: org.apache.qpid.ping	PingDurableClient.java: org.apache.qpid.ping	
PingDurableClient.java: org.apache.qpid.ping	PingPongProducer.java: org.apache.qpid.requestreply	
PingAsyncTestPerf.java: org.apache.qpid.ping	PingTestPerf.java: org.apache.qpid.ping	
TopicWithSelectorsTransientVolumeTest.java: org.apache.qpid.topic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DispatcherTest.java: org.apache.qpid.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageListenerTest.java: org.apache.qpid.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageListenerMultiConsumerTest.java: org.apache.qpid.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageListenerMultiConsumerImmediatePrefetch.java: org.apache.qpid.client	MessageListenerMultiConsumerTest.java: org.apache.qpid.client	
AMQTestConnection_0_10.java: org.apache.qpid.client	AMQConnection.java: org.apache.qpid.client	
ResetMessageListenerTest.java: org.apache.qpid.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AMQQueueDeferredOrderingTest.java: org.apache.qpid.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SessionCreateTest.java: org.apache.qpid.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
FailoverBehaviourTest.java: org.apache.qpid.client.failover	FailoverBaseCase.java: org.apache.qpid.test.utils	
AddressBasedFailoverBehaviourTest.java: org.apache.qpid.client.failover	FailoverBehaviourTest.java: org.apache.qpid.client.failover	
AMQPEncodedMapMessageTest.java: org.apache.qpid.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PrefetchBehaviourTest.java: org.apache.qpid.client.prefetch	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SSLTest.java: org.apache.qpid.client.ssl	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
XAResourceTest.java: org.apache.qpid.jms.xa	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ManagementActorLoggingTest.java: org.apache.qpid.management.jmx	AbstractTestLogging.java: org.apache.qpid.server.logging	
MessageStatisticsTestCase.java: org.apache.qpid.management.jmx	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
BrokerStartupTest.java: org.apache.qpid.server	AbstractTestLogging.java: org.apache.qpid.server.logging	
ServerConfigurationFileTest.java: org.apache.qpid.server.configuration	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ReturnUnroutableMandatoryMessageTest.java: org.apache.qpid.server.exchange	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageDisappearWithIOExceptionTest.java: org.apache.qpid.server.failover	FailoverBaseCase.java: org.apache.qpid.test.utils	
FailoverMethodTest.java: org.apache.qpid.server.failover	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AccessControlLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
DerbyMessageStoreLoggingTest.java: org.apache.qpid.server.logging	MemoryMessageStoreLoggingTest.java: org.apache.qpid.server.logging	
BrokerLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
MemoryMessageStoreLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
SubscriptionLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
AbstractTestLogging.java: org.apache.qpid.server.logging	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
BindingLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
ExchangeLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
QueueLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
VirtualHostLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
DurableQueueLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
TransientQueueLoggingTest.java: org.apache.qpid.server.logging	DurableQueueLoggingTest.java: org.apache.qpid.server.logging	
ManagementLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
ChannelLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
ConnectionLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
AlertingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
NoLocalAfterRecoveryTest.java: org.apache.qpid.server.persistent	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ModelTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DeepQueueConsumeWithSelector.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueDepthWithSelectorTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ConflationQueueTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ProducerFlowControlTest.java: org.apache.qpid.server.queue	AbstractTestLogging.java: org.apache.qpid.server.logging	
MultipleTransactedBatchProducerTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PriorityTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TimeToLiveTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AbstractACLTestCase.java: org.apache.qpid.server.security.acl	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
FirewallConfigTest.java: org.apache.qpid.server.security.firewall	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PersistentStoreTest.java: org.apache.qpid.server.store	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
GlobalTopicsTest.java: org.apache.qpid.systest	GlobalQueuesTest.java: org.apache.qpid.systest	
SubscriptionTest.java: org.apache.qpid.systest	TestingBaseCase.java: org.apache.qpid.systest	
TopicTest.java: org.apache.qpid.systest	GlobalQueuesTest.java: org.apache.qpid.systest	
MergeConfigurationTest.java: org.apache.qpid.systest	TestingBaseCase.java: org.apache.qpid.systest	
TestingBaseCase.java: org.apache.qpid.systest	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
GlobalQueuesTest.java: org.apache.qpid.systest	TestingBaseCase.java: org.apache.qpid.systest	
QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	FailoverBaseCase.java: org.apache.qpid.test.utils	
FlowControlTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
RollbackOrderTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueBrowserTransactedTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
QueueBrowserClientAckTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
QueueBrowserPreAckTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
QueueBrowserDupsOkTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
CancelTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueBrowserNoAckTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
DupsOkTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AddressBasedDestinationTest.java: org.apache.qpid.test.client.destination	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
FailoverTest.java: org.apache.qpid.test.client.failover	FailoverBaseCase.java: org.apache.qpid.test.utils	
SelectorTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
JMSDestinationTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageToStringTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ObjectMessageTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
LVQTest.java: org.apache.qpid.test.client.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueuePolicyTest.java: org.apache.qpid.test.client.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SyncWaitDelayTest.java: org.apache.qpid.test.client.timeouts	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SyncWaitTimeoutDelayTest.java: org.apache.qpid.test.client.timeouts	SyncWaitDelayTest.java: org.apache.qpid.test.client.timeouts	
LocalAMQPCircuitFactory.java: org.apache.qpid.test.framework	LocalCircuitFactory.java: org.apache.qpid.test.framework	
FrameworkBaseCase.java: org.apache.qpid.test.framework	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
OptOutTestCase.java: org.apache.qpid.test.framework.distributedtesting	FrameworkBaseCase.java: org.apache.qpid.test.framework	
LocalPublisherImpl.java: org.apache.qpid.test.framework.localcircuit	CircuitEndBase.java: org.apache.qpid.test.framework	
LocalReceiverImpl.java: org.apache.qpid.test.framework.localcircuit	CircuitEndBase.java: org.apache.qpid.test.framework	
LocalAMQPPublisherImpl.java: org.apache.qpid.test.framework.localcircuit	LocalPublisherImpl.java: org.apache.qpid.test.framework.localcircuit	
FailoverTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
RollbackTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
MandatoryMessageTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
ImmediateMessageTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
AcknowledgeTest.java: org.apache.qpid.test.unit.ack	FailoverBaseCase.java: org.apache.qpid.test.utils	
AcknowledgeOnMessageTest.java: org.apache.qpid.test.unit.ack	AcknowledgeTest.java: org.apache.qpid.server.ack	
Acknowledge2ConsumersTest.java: org.apache.qpid.test.unit.ack	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QuickAcking.java: org.apache.qpid.test.unit.ack	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ClientAcknowledgeTest.java: org.apache.qpid.test.unit.ack	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AcknowledgeAfterFailoverTest.java: org.apache.qpid.test.unit.ack	AcknowledgeTest.java: org.apache.qpid.server.ack	
RecoverTest.java: org.apache.qpid.test.unit.ack	FailoverBaseCase.java: org.apache.qpid.test.utils	
FailoverBeforeConsumingRecoverTest.java: org.apache.qpid.test.unit.ack	RecoverTest.java: org.apache.qpid.test.unit.ack	
AcknowledgeAfterFailoverOnMessageTest.java: org.apache.qpid.test.unit.ack	AcknowledgeOnMessageTest.java: org.apache.qpid.test.unit.ack	
MapMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
BytesMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ReceiveTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PropertyValueTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
