outputConfigurationBody; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;919
getDocumentVersions; MeridioConnector.java; org.apache.manifoldcf.crawler.connectors.meridio;274
processSpecificationPost; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;265
processDocuments; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;254
getDocumentVersions; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;249
outputSpecificationBody; FileConnector.java; org.apache.manifoldcf.crawler.connectors.filesystem;248
sanityCheck; APISanityIT.java; org.apache.manifoldcf.cmis_tests;247
outputConfigurationBody; LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink;244
sanityCheck; APISanityIT.java; org.apache.manifoldcf.alfresco_tests;241
addSeedDocuments; DCTM.java; org.apache.manifoldcf.crawler.connectors.DCTM;228
outputConfigurationHeader; SolrConnector.java; org.apache.manifoldcf.agents.output.solr;220
sanityCheck; APISanityIT.java; org.apache.manifoldcf.filesystem_tests;219
sanityCheck; APISanityPostgresqlIT.java; org.apache.manifoldcf.filesystem_tests;219
sanityCheck; APISanityHSQLDBIT.java; org.apache.manifoldcf.filesystem_tests;219
processDocuments; JDBCConnector.java; org.apache.manifoldcf.crawler.connectors.jdbc;219
checkInclude; SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive;214
documentDeleteMultiple; IncrementalIngester.java; org.apache.manifoldcf.agents.incrementalingest;209
doCanonicalization; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;204
getDocumentACLs; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;204
getDocumentVersions; DCTM.java; org.apache.manifoldcf.crawler.connectors.DCTM;203
enterLocksNoWait; LockManager.java; org.apache.manifoldcf.core.lockmanager;201
checkFetchAllowed; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;197
getFieldValues; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;197
getDocumentVersions; SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive;196
processConfigurationPost; SolrConnector.java; org.apache.manifoldcf.agents.output.solr;192
getACLs; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;189
getDocLibID; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;188
doCanonicalization; RSSConnector.java; org.apache.manifoldcf.crawler.connectors.rss;188
parse; JSONML.java; org.json;188
enterLocks; LockManager.java; org.apache.manifoldcf.core.lockmanager;187
outputConfigurationBody; FilenetConnector.java; org.apache.manifoldcf.crawler.connectors.filenet;180
processDocuments; CmisRepositoryConnector.java; org.apache.manifoldcf.crawler.connectors.cmis;179
processDocuments; LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink;179
getObject; Database.java; org.apache.manifoldcf.core.database;178
outputSpecificationHeader; SharePointRepository.java; org.apache.manifoldcf.crawler.connectors.sharepoint;175
describeDocumentSecurity; SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive;175
outputSpecificationBody; WikiConnector.java; org.apache.manifoldcf.crawler.connectors.wiki;174
getSession; LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink;173
processDocuments; WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler;172
getDocuments; SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint;169
addData; DataCache.java; org.apache.manifoldcf.crawler.connectors.webcrawler;168
parse; XML.java; org.json;167
outputConfigurationBody; RSSConnector.java; org.apache.manifoldcf.crawler.connectors.rss;167
noteDocumentIngest; IncrementalIngester.java; org.apache.manifoldcf.agents.incrementalingest;165
noteConfigurationChange; ManifoldCF.java; org.apache.manifoldcf.core.system;163
match; CommonsHTTPSender.java; org.apache.manifoldcf.crawler.connectors.meridio;162
match; CommonsHTTPSender.java; org.apache.manifoldcf.crawler.connectors.sharepoint;162
getDocInfo; WikiConnector.java; org.apache.manifoldcf.crawler.connectors.wiki;161
getAuthorizationResponseUncached; MeridioAuthority.java; org.apache.manifoldcf.crawler.connectors.meridio;159
getAuthorizationResponseUncached; AuthorityConnector.java; org.apache.manifoldcf.crawler.authorities.DCTM;158
enterCriticalSections; LockManager.java; org.apache.manifoldcf.core.lockmanager;157
outputConfigurationBody; SharePointRepository.java; org.apache.manifoldcf.crawler.connectors.sharepoint;157
outputSpecificationBody; JDBCConnector.java; org.apache.manifoldcf.crawler.connectors.jdbc;157
outputConfigurationHeader; MeridioAuthority.java; org.apache.manifoldcf.crawler.connectors.meridio;154
processConfigurationPost; MeridioAuthority.java; org.apache.manifoldcf.crawler.connectors.meridio;154
processDocuments; DCTM.java; org.apache.manifoldcf.crawler.connectors.DCTM;151
outputConfigurationHeader; MeridioConnector.java; org.apache.manifoldcf.crawler.connectors.meridio;150
