LinkParseState.java: org.apache.manifoldcf.crawler.connectors.webcrawler	MetaParseState.java: org.apache.manifoldcf.crawler.connectors.webcrawler	
NavigationDerbyUI.java: org.apache.manifoldcf.opensearchserver_tests	BaseUIDerby.java: org.apache.manifoldcf.activedirectory_tests	
BigCrawlDerbyLT.java: org.apache.manifoldcf.rss_tests	BaseDerby.java: org.apache.manifoldcf.crawler.connectors.alfresco.tests	
BigCrawlPostgresqlLT.java: org.apache.manifoldcf.rss_tests	BasePostgresql.java: org.apache.manifoldcf.crawler.connectors.alfresco.tests	
BigCrawlHSQLDBLT.java: org.apache.manifoldcf.rss_tests	BaseHSQLDB.java: org.apache.manifoldcf.crawler.connectors.alfresco.tests	
BigCrawlMySQLLT.java: org.apache.manifoldcf.rss_tests	BaseMySQL.java: org.apache.manifoldcf.crawler.connectors.filesystem.tests	
NavigationDerbyUI.java: org.apache.manifoldcf.rss_tests	BaseUIDerby.java: org.apache.manifoldcf.activedirectory_tests	
NavigationDerbyUI.java: org.apache.manifoldcf.solr_tests	BaseUIDerby.java: org.apache.manifoldcf.activedirectory_tests	
NavigationDerbyUI.java: org.apache.manifoldcf.webcrawler_tests	BaseUIDerby.java: org.apache.manifoldcf.activedirectory_tests	
NavigationDerbyUI.java: org.apache.manifoldcf.wiki_tests	BaseUIDerby.java: org.apache.manifoldcf.activedirectory_tests	
SanityDerbyIT.java: org.apache.manifoldcf.wiki_tests	BaseDerby.java: org.apache.manifoldcf.crawler.connectors.alfresco.tests	
