FeaturesServiceImpl.java: org.apache.karaf.features.internal Import.java: org.apache.karaf.shell.dev.util 1->2: 0  2->1: 57
Argument.java: org.apache.felix.gogo.commands ListCommand.java: org.apache.karaf.shell.obr 1->2: 15  2->1: 0
PropAppendCommand.java: org.apache.karaf.shell.config Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 17
KeyIsLocked.java: org.apache.karaf.jaas.config KeystoreManager.java: org.apache.karaf.jaas.config 1->2: 15  2->1: 0
FeatureDeploymentListener.java: org.apache.karaf.deployer.features Properties.java: org.apache.karaf.shell.config 1->2: 7  2->1: 46
AdminService.java: org.apache.karaf.admin AdminServiceImpl.java: org.apache.karaf.admin.internal 1->2: 7  2->1: 4
StreamPumper.java: org.apache.karaf.shell.commands.utils PumpStreamHandler.java: org.apache.karaf.shell.wrapper 1->2: 18  2->1: 5
EditCommand.java: org.apache.karaf.shell.config Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 12
Exception.java: java.lang RepositoryTest.java: org.apache.karaf.features 1->2: 19  2->1: 0
ExecuteTest.java: org.apache.karaf.admin.main Properties.java: org.apache.karaf.shell.config 1->2: 0  2->1: 27
BlueprintDeploymentListener.java: org.apache.karaf.deployer.blueprint Exception.java: java.lang 1->2: 0  2->1: 39
ConfigurationCompleter.java: org.apache.karaf.shell.config.completers StringsCompleter.java: org.apache.karaf.shell.console.completer 1->2: 1  2->1: 13
Exception.java: java.lang NewAction.java: org.apache.karaf.shell.commands 1->2: 40  2->1: 0
Exception.java: java.lang BlueprintCommand.java: org.apache.karaf.shell.console.commands 1->2: 15  2->1: 0
AdminServiceMBeanImpl.java: org.apache.karaf.admin.management.internal AdminServiceMBeanImplTest.java: org.apache.karaf.admin.management.internal 1->2: 53  2->1: 0
BundleInfo.java: org.apache.karaf.features FeaturesServiceImpl.java: org.apache.karaf.features.internal 1->2: 16  2->1: 1
OracleJDBCLock.java: org.apache.karaf.main OracleJDBCLockTest.java: org.apache.karaf.main 1->2: 22  2->1: 0
MySQLJDBCLock.java: org.apache.karaf.main DefaultJDBCLock.java: org.apache.karaf.main 1->2: 4  2->1: 15
FeatureImpl.java: org.apache.karaf.features.internal RepositoryTest.java: org.apache.karaf.features 1->2: 30  2->1: 0
Exception.java: java.lang FeaturesServiceMBean.java: org.apache.karaf.features.management 1->2: 40  2->1: 0
SpringDeploymentListenerTest.java: org.apache.karaf.deployer.spring Exception.java: java.lang 1->2: 0  2->1: 10
Main.java: org.apache.karaf.main MainService.java: org.apache.karaf.main.spi 1->2: 4  2->1: 8
Exception.java: java.lang FeaturesServiceTest.java: org.apache.karaf.features 1->2: 72  2->1: 0
Command.java: org.apache.felix.gogo.commands FrameworkDebug.java: org.apache.karaf.shell.dev 1->2: 9  2->1: 0
Command.java: org.apache.felix.gogo.commands SshAction.java: org.apache.karaf.shell.ssh 1->2: 28  2->1: 0
DefaultJDBCLock.java: org.apache.karaf.main DerbyJDBCLockIntegrationTest.java: org.apache.karaf.main 1->2: 9  2->1: 0
Argument.java: org.apache.felix.gogo.commands ExportsCommand.java: org.apache.karaf.shell.packages 1->2: 13  2->1: 0
Exception.java: java.lang DefaultConverter.java: org.apache.felix.gogo.commands.converter 1->2: 194  2->1: 0
FeatureTransformer.java: org.apache.karaf.deployer.features Exception.java: java.lang 1->2: 0  2->1: 9
Exception.java: java.lang BundlesCommand.java: org.apache.karaf.shell.osgi 1->2: 10  2->1: 0
Exception.java: java.lang DisplayException.java: org.apache.karaf.shell.log 1->2: 9  2->1: 0
FeatureEvent.java: org.apache.karaf.features EventAdminListener.java: org.apache.karaf.features.internal 1->2: 10  2->1: 0
NewAction.java: org.apache.karaf.shell.commands Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 14
InstallFeatureCommand.java: org.apache.karaf.features.command Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 17
Felix.java: org.apache.karaf.shell.dev.framework FelixTest.java: org.apache.karaf.shell.dev.framework 1->2: 12  2->1: 1
ExecuteAction.java: org.apache.karaf.shell.commands PumpStreamHandler.java: org.apache.karaf.shell.wrapper 1->2: 0  2->1: 12
KeystoreManager.java: org.apache.karaf.jaas.config OsgiKeystoreManager.java: org.apache.karaf.jaas.config.impl 1->2: 10  2->1: 4
PropertiesConverterTest.java: org.apache.karaf.jaas.modules.properties ReifiedType.java: org.apache.felix.gogo.commands.converter 1->2: 0  2->1: 10
FeaturesService.java: org.apache.karaf.features FeaturesServiceTest.java: org.apache.karaf.features 1->2: 109  2->1: 0
Option.java: org.apache.felix.gogo.commands SourceCommand.java: org.apache.karaf.shell.obr 1->2: 16  2->1: 0
Instance.java: org.apache.karaf.admin Main.java: org.apache.karaf.main 1->2: 107  2->1: 1
Exception.java: java.lang TestCommands.java: org.apache.felix.gogo.commands 1->2: 23  2->1: 0
Exception.java: java.lang ShellFactoryImpl.java: org.apache.karaf.shell.ssh 1->2: 34  2->1: 1
Argument.java: org.apache.felix.gogo.commands ListServices.java: org.apache.karaf.shell.osgi 1->2: 16  2->1: 0
JmxFeature.java: org.apache.karaf.features.management.codec FeaturesServiceMBeanImpl.java: org.apache.karaf.features.management.internal 1->2: 13  2->1: 0
Lock.java: org.apache.karaf.main SimpleFileLock.java: org.apache.karaf.main 1->2: 28  2->1: 9
EachAction.java: org.apache.karaf.shell.commands Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 14
FeatureImpl.java: org.apache.karaf.features.internal RepositoryImpl.java: org.apache.karaf.features.internal 1->2: 32  2->1: 2
SortAction.java: org.apache.karaf.shell.commands SortTest.java: org.apache.karaf.shell.commands 1->2: 16  2->1: 0
Main.java: org.apache.karaf.main Felix.java: org.apache.karaf.shell.dev.framework 1->2: 0  2->1: 33
Option.java: org.apache.felix.gogo.commands InstallCommand.java: org.apache.karaf.shell.wrapper 1->2: 59  2->1: 0
Command.java: org.apache.felix.gogo.commands ListBundles.java: org.apache.karaf.shell.osgi 1->2: 37  2->1: 0
FeatureImpl.java: org.apache.karaf.features.internal FeaturesServiceImplTest.java: org.apache.karaf.features.internal 1->2: 50  2->1: 0
CommandsCompleter.java: org.apache.karaf.shell.console.completer AggregateCompleter.java: org.apache.karaf.shell.console.completer 1->2: 18  2->1: 8
InstanceImpl.java: org.apache.karaf.admin.internal Main.java: org.apache.karaf.main 1->2: 120  2->1: 12
Option.java: org.apache.felix.gogo.commands ListBundles.java: org.apache.karaf.shell.osgi 1->2: 45  2->1: 0
Instance.java: org.apache.karaf.admin AdminServiceMBeanImpl.java: org.apache.karaf.admin.management.internal 1->2: 15  2->1: 1
Exception.java: java.lang SshTerminal.java: org.apache.karaf.shell.ssh 1->2: 39  2->1: 0
JaasRealm.java: org.apache.karaf.jaas.config Config.java: org.apache.karaf.jaas.config.impl 1->2: 6  2->1: 3
FeatureURLHandler.java: org.apache.karaf.deployer.features Exception.java: java.lang 1->2: 0  2->1: 33
Action.java: org.apache.felix.gogo.commands AbstractCommand.java: org.apache.felix.gogo.commands.basic 1->2: 9  2->1: 1
ChangePortCommand.java: org.apache.karaf.admin.command Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 10
Completer.java: org.apache.karaf.shell.console CompleterAsCompletor.java: org.apache.karaf.shell.console.jline 1->2: 9  2->1: 1
AdminServiceMBean.java: org.apache.karaf.admin.management Exception.java: java.lang 1->2: 0  2->1: 30
InstallCommand.java: org.apache.karaf.shell.wrapper Main.java: org.apache.karaf.shell.wrapper 1->2: 0  2->1: 46
Exception.java: java.lang ConfigCommandSupport.java: org.apache.karaf.shell.config 1->2: 15  2->1: 0
AdminService.java: org.apache.karaf.admin AdminServiceMBeanImplTest.java: org.apache.karaf.admin.management.internal 1->2: 26  2->1: 0
Feature.java: org.apache.karaf.features FeaturesServiceImpl.java: org.apache.karaf.features.internal 1->2: 91  2->1: 0
ExecuteTest.java: org.apache.karaf.admin.main AdminServiceImpl.java: org.apache.karaf.admin.internal 1->2: 0  2->1: 10
CatAction.java: org.apache.karaf.shell.commands Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 11
Import.java: org.apache.karaf.shell.dev.util ImportTest.java: org.apache.karaf.shell.dev.util 1->2: 42  2->1: 0
Exception.java: java.lang ObrCommandSupport.java: org.apache.karaf.shell.obr 1->2: 40  2->1: 0
InstanceImpl.java: org.apache.karaf.admin.internal AdminServiceImpl.java: org.apache.karaf.admin.internal 1->2: 38  2->1: 9
PropAppendCommand.java: org.apache.karaf.shell.config Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 11
Main.java: org.apache.karaf.client Main.java: org.apache.karaf.shell.wrapper 1->2: 14  2->1: 5
Terminal.java: org.apache.karaf.webconsole.gogo GogoPlugin.java: org.apache.karaf.webconsole.gogo 1->2: 45  2->1: 14
Exception.java: java.lang GogoPlugin.java: org.apache.karaf.webconsole.gogo 1->2: 65  2->1: 0
FeaturesServiceImpl.java: org.apache.karaf.features.internal FeaturesServiceImplTest.java: org.apache.karaf.features.internal 1->2: 59  2->1: 0
ShowBundleTree.java: org.apache.karaf.shell.dev Import.java: org.apache.karaf.shell.dev.util 1->2: 0  2->1: 21
Main.java: org.apache.karaf.main Bootstrap.java: org.apache.karaf.main 1->2: 6  2->1: 13
CommandsCompleter.java: org.apache.karaf.shell.console.completer NullCompleter.java: org.apache.karaf.shell.console.completer 1->2: 1  2->1: 9
BaseJDBCLockTest.java: org.apache.karaf.main DerbyJDBCLockTest.java: org.apache.karaf.main 1->2: 4  2->1: 5
JavaAction.java: org.apache.karaf.shell.commands Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 18
Option.java: org.apache.felix.gogo.commands ListServices.java: org.apache.karaf.shell.osgi 1->2: 18  2->1: 0
Feature.java: org.apache.karaf.features ExtendedFeature.java: org.apache.karaf.webconsole.features 1->2: 19  2->1: 7
IfAction.java: org.apache.karaf.shell.commands OsgiCommandSupport.java: org.apache.karaf.shell.console 1->2: 2  2->1: 7
FeaturesServiceImpl.java: org.apache.karaf.features.internal Properties.java: org.apache.karaf.shell.config 1->2: 25  2->1: 187
AdminService.java: org.apache.karaf.admin AdminPlugin.java: org.apache.karaf.webconsole.admin 1->2: 13  2->1: 1
CreateCommand.java: org.apache.karaf.admin.command Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 16
SshTerminal.java: org.apache.karaf.shell.ssh Terminal.java: org.apache.karaf.webconsole.gogo 1->2: 0  2->1: 32
Equinox.java: org.apache.karaf.shell.dev.framework Framework.java: org.apache.karaf.shell.dev.framework 1->2: 3  2->1: 9
BaseJDBCLockTest.java: org.apache.karaf.main Properties.java: org.apache.karaf.shell.config 1->2: 0  2->1: 25
AdminServiceImplTest.java: org.apache.karaf.admin.internal Exception.java: java.lang 1->2: 0  2->1: 14
ShowBundleTree.java: org.apache.karaf.shell.dev Tree.java: org.apache.karaf.shell.dev.util 1->2: 0  2->1: 20
AdminServiceImpl.java: org.apache.karaf.admin.internal Exception.java: java.lang 1->2: 2  2->1: 62
StartCommand.java: org.apache.karaf.admin.command Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 14
InfoFeatureCommand.java: org.apache.karaf.features.command Feature.java: org.apache.karaf.features 1->2: 0  2->1: 36
DefaultJDBCLock.java: org.apache.karaf.main DefaultJDBCLockIntegrationTest.java: org.apache.karaf.main 1->2: 12  2->1: 0
Exception.java: java.lang PackageCommandSupport.java: org.apache.karaf.shell.packages 1->2: 10  2->1: 0
Equinox.java: org.apache.karaf.shell.dev.framework EquinoxTest.java: org.apache.karaf.shell.dev.framework 1->2: 14  2->1: 1
Resolver.java: org.apache.karaf.features ObrResolver.java: org.apache.karaf.features.obr.internal 1->2: 15  2->1: 1
DefaultJDBCLock.java: org.apache.karaf.main BaseJDBCLockTest.java: org.apache.karaf.main 1->2: 66  2->1: 4
Exception.java: java.lang ShellCommandFactory.java: org.apache.karaf.shell.ssh 1->2: 21  2->1: 0
Properties.java: org.apache.karaf.shell.config FelixTest.java: org.apache.karaf.shell.dev.framework 1->2: 23  2->1: 0
Exception.java: java.lang LogoutAction.java: org.apache.karaf.shell.commands 1->2: 9  2->1: 0
InstanceImpl.java: org.apache.karaf.admin.internal Properties.java: org.apache.karaf.shell.config 1->2: 29  2->1: 82
Lock.java: org.apache.karaf.main BaseJDBCLockIntegrationTest.java: org.apache.karaf.main 1->2: 125  2->1: 8
Argument.java: org.apache.felix.gogo.commands GetLogLevel.java: org.apache.karaf.shell.log 1->2: 10  2->1: 0
Option.java: org.apache.felix.gogo.commands InstallBundle.java: org.apache.karaf.shell.osgi 1->2: 12  2->1: 0
PumpStreamHandler.java: org.apache.karaf.shell.commands.utils PumpStreamHandler.java: org.apache.karaf.shell.wrapper 1->2: 46  2->1: 46
DynamicImport.java: org.apache.karaf.shell.dev AbstractBundleCommand.java: org.apache.karaf.shell.dev 1->2: 3  2->1: 6
AdminServiceImpl.java: org.apache.karaf.admin.internal PumpStreamHandler.java: org.apache.karaf.shell.commands.utils 1->2: 0  2->1: 26
ShowBundleTree.java: org.apache.karaf.shell.dev Node.java: org.apache.karaf.shell.dev.util 1->2: 0  2->1: 43
GenericType.java: org.apache.felix.gogo.commands.converter GenericType.java: org.apache.karaf.shell.console.commands 1->2: 104  2->1: 104
FeaturesService.java: org.apache.karaf.features Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 11
Exception.java: java.lang Util.java: org.apache.karaf.shell.osgi 1->2: 13  2->1: 0
Option.java: org.apache.felix.gogo.commands ExportsCommand.java: org.apache.karaf.shell.packages 1->2: 13  2->1: 0
KeystoreManager.java: org.apache.karaf.jaas.config KeystoreInstance.java: org.apache.karaf.jaas.config 1->2: 0  2->1: 10
GrepAction.java: org.apache.karaf.shell.commands Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 26
SpringDeploymentListener.java: org.apache.karaf.deployer.spring Exception.java: java.lang 1->2: 0  2->1: 39
FeatureEvent.java: org.apache.karaf.features JmxFeatureEvent.java: org.apache.karaf.features.management.codec 1->2: 12  2->1: 0
Exception.java: java.lang SshAction.java: org.apache.karaf.shell.ssh 1->2: 9  2->1: 0
DateTimeDateFormat.java: org.apache.karaf.shell.log.layout PatternParser.java: org.apache.karaf.shell.log.layout 1->2: 60  2->1: 1
Exception.java: java.lang RefreshUrlCommand.java: org.apache.karaf.features.command 1->2: 10  2->1: 0
Exception.java: java.lang StreamPumper.java: org.apache.karaf.shell.wrapper 1->2: 40  2->1: 0
Resolver.java: org.apache.karaf.features ResolveCommand.java: org.apache.karaf.shell.obr 1->2: 16  2->1: 0
Exception.java: java.lang GrepAction.java: org.apache.karaf.shell.commands 1->2: 9  2->1: 0
Properties.java: org.apache.karaf.shell.config EditCommandTest.java: org.apache.karaf.shell.config 1->2: 13  2->1: 0
RepositoryEvent.java: org.apache.karaf.features JmxRepositoryEvent.java: org.apache.karaf.features.management.codec 1->2: 12  2->1: 0
JmxInstanceTest.java: org.apache.karaf.admin.management.codec Exception.java: java.lang 1->2: 0  2->1: 15
DefaultJDBCLock.java: org.apache.karaf.main OracleJDBCLock.java: org.apache.karaf.main 1->2: 12  2->1: 36
DerbyJDBCLockIntegrationTest.java: org.apache.karaf.main BaseJDBCLockIntegrationTest.java: org.apache.karaf.main 1->2: 16  2->1: 11
FeaturesServiceTest.java: org.apache.karaf.features Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 63
Bundles.java: org.apache.karaf.shell.dev.util BundlesTest.java: org.apache.karaf.shell.dev.util 1->2: 13  2->1: 0
AdminPlugin.java: org.apache.karaf.webconsole.admin AdminPluginTest.java: org.apache.karaf.webconsole.admin 1->2: 10  2->1: 0
OsgiCommandSupport.java: org.apache.karaf.shell.console PackageCommandSupport.java: org.apache.karaf.shell.packages 1->2: 10  2->1: 4
Execute.java: org.apache.karaf.admin.main Exception.java: java.lang 1->2: 0  2->1: 14
Exception.java: java.lang FeaturesServiceImplTest.java: org.apache.karaf.features.internal 1->2: 49  2->1: 0
OsgiCommandSupport.java: org.apache.karaf.shell.console ObrCommandSupport.java: org.apache.karaf.shell.obr 1->2: 11  2->1: 4
EchoAction.java: org.apache.karaf.shell.commands Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 12
AdminServiceImplTest.java: org.apache.karaf.admin.internal Properties.java: org.apache.karaf.shell.config 1->2: 0  2->1: 22
PumpStreamHandler.java: org.apache.karaf.shell.commands.utils StreamPumper.java: org.apache.karaf.shell.wrapper 1->2: 5  2->1: 18
UninstallFeatureCommand.java: org.apache.karaf.features.command FeaturesService.java: org.apache.karaf.features 1->2: 0  2->1: 17
Command.java: org.apache.felix.gogo.commands Headers.java: org.apache.karaf.shell.osgi 1->2: 10  2->1: 0
PropSetCommand.java: org.apache.karaf.shell.config Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 9
CreateCommand.java: org.apache.karaf.admin.command Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 26
Exception.java: java.lang FileUtil.java: org.apache.karaf.shell.obr.util 1->2: 29  2->1: 1
DefaultActionPreparator.java: org.apache.felix.gogo.commands.basic DefaultConverter.java: org.apache.felix.gogo.commands.converter 1->2: 57  2->1: 10
FeaturesListener.java: org.apache.karaf.features FeaturesServiceImpl.java: org.apache.karaf.features.internal 1->2: 12  2->1: 0
Exception.java: java.lang Helper.java: org.apache.karaf.testing 1->2: 45  2->1: 0
FeaturesServiceMBean.java: org.apache.karaf.features.management FeaturesServiceMBeanImpl.java: org.apache.karaf.features.management.internal 1->2: 34  2->1: 16
Exception.java: java.lang StreamPumper.java: org.apache.karaf.shell.commands.utils 1->2: 40  2->1: 0
PatternParser.java: org.apache.karaf.shell.log.layout AbsoluteTimeDateFormat.java: org.apache.karaf.shell.log.layout 1->2: 1  2->1: 72
Properties.java: org.apache.karaf.shell.config Console.java: org.apache.karaf.shell.console.jline 1->2: 74  2->1: 3
PrintfAction.java: org.apache.karaf.shell.commands Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 14
Main.java: org.apache.karaf.client Main.java: org.apache.karaf.main 1->2: 31  2->1: 3
GenericType.java: org.apache.felix.gogo.commands.converter BlueprintCommand.java: org.apache.karaf.shell.console.commands 1->2: 12  2->1: 0
CatAction.java: org.apache.karaf.shell.commands Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 15
FeaturesService.java: org.apache.karaf.features FeaturesServiceImpl.java: org.apache.karaf.features.internal 1->2: 123  2->1: 44
ReifiedType.java: org.apache.felix.gogo.commands.converter GenericType.java: org.apache.felix.gogo.commands.converter 1->2: 12  2->1: 3
Exception.java: java.lang CloseShellException.java: org.apache.karaf.shell.console 1->2: 14  2->1: 0
KeystoreIsLocked.java: org.apache.karaf.jaas.config OsgiKeystoreManager.java: org.apache.karaf.jaas.config.impl 1->2: 15  2->1: 0
