CategoryTextAnnotation.java: org.jfree.chart.annotations	TextAnnotation.java: org.jfree.chart.annotations	
StackedXYBarRenderer.java: org.jfree.chart.renderer.xy	XYBarRenderer.java: org.jfree.chart.renderer.xy	
StackedXYAreaRenderer.java: org.jfree.chart.renderer.xy	XYAreaRenderer.java: org.jfree.chart.renderer.xy	
CyclicXYItemRenderer.java: org.jfree.chart.renderer.xy	StandardXYItemRenderer.java: org.jfree.chart.renderer.xy	
XYLine3DRenderer.java: org.jfree.chart.renderer.xy	XYLineAndShapeRenderer.java: org.jfree.chart.renderer.xy	
LegendGraphic.java: org.jfree.chart.title	AbstractBlock.java: org.jfree.chart.block	
DateTitle.java: org.jfree.chart.title	TextTitle.java: org.jfree.chart.title	
Title.java: org.jfree.chart.title	AbstractBlock.java: org.jfree.chart.block	
StandardXYZURLGenerator.java: org.jfree.chart.urls	StandardXYURLGenerator.java: org.jfree.chart.urls	
NonGridContourDataset.java: org.jfree.data.contour	DefaultContourDataset.java: org.jfree.data.contour	
DefaultKeyedValues2DDataset.java: org.jfree.data.general	DefaultCategoryDataset.java: org.jfree.data.category	
DefaultKeyedValuesDataset.java: org.jfree.data.general	DefaultPieDataset.java: org.jfree.data.general	
JDBCCategoryDataset.java: org.jfree.data.jdbc	DefaultCategoryDataset.java: org.jfree.data.category	
JDBCPieDataset.java: org.jfree.data.jdbc	DefaultPieDataset.java: org.jfree.data.general	
DateRange.java: org.jfree.data.time	Range.java: org.jfree.data	
CategoryDatasetHandler.java: org.jfree.data.xml	RootHandler.java: org.jfree.data.xml	
PieDatasetHandler.java: org.jfree.data.xml	RootHandler.java: org.jfree.data.xml	
NormalizedMatrixSeries.java: org.jfree.data.xy	MatrixSeries.java: org.jfree.data.xy	
