ServerConnection.java: org.apache.qpid.server.transport	Connection.java: org.apache.qpid.jms	
ConnectionLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
DurableQueueLoggingTest.java: org.apache.qpid.server.logging	AbstractTestLogging.java: org.apache.qpid.server.logging	
NoLocalAfterRecoveryTest.java: org.apache.qpid.server.persistent	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueDepthWithSelectorTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DeepQueueConsumeWithSelector.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ConflationQueueTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ModelTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ProducerFlowControlTest.java: org.apache.qpid.server.queue	AbstractTestLogging.java: org.apache.qpid.server.logging	
PriorityTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TimeToLiveTest.java: org.apache.qpid.server.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AbstractACLTestCase.java: org.apache.qpid.server.security.acl	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ExternalACLTest.java: org.apache.qpid.server.security.acl	SimpleACLTest.java: org.apache.qpid.server.security.acl	
FirewallConfigTest.java: org.apache.qpid.server.security.firewall	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PersistentStoreTest.java: org.apache.qpid.server.store	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TopicTest.java: org.apache.qpid.systest	GlobalQueuesTest.java: org.apache.qpid.systest	
GlobalTopicsTest.java: org.apache.qpid.systest	GlobalQueuesTest.java: org.apache.qpid.systest	
SubscriptionTest.java: org.apache.qpid.systest	TestingBaseCase.java: org.apache.qpid.systest	
GlobalQueuesTest.java: org.apache.qpid.systest	TestingBaseCase.java: org.apache.qpid.systest	
TestingBaseCase.java: org.apache.qpid.systest	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MergeConfigurationTest.java: org.apache.qpid.systest	TestingBaseCase.java: org.apache.qpid.systest	
QueueBrowserTransactedTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
DupsOkTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
CancelTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueBrowserPreAckTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
QueueBrowserClientAckTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	FailoverBaseCase.java: org.apache.qpid.test.utils	
FlowControlTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueBrowserNoAckTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
RollbackOrderTest.java: org.apache.qpid.test.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueueBrowserDupsOkTest.java: org.apache.qpid.test.client	QueueBrowserAutoAckTest.java: org.apache.qpid.test.client	
AddressBasedDestinationTest.java: org.apache.qpid.test.client.destination	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
FailoverTest.java: org.apache.qpid.test.client.failover	FailoverBaseCase.java: org.apache.qpid.test.utils	
SelectorTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ObjectMessageTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
JMSDestinationTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageToStringTest.java: org.apache.qpid.test.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
LVQTest.java: org.apache.qpid.test.client.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QueuePolicyTest.java: org.apache.qpid.test.client.queue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SyncWaitDelayTest.java: org.apache.qpid.test.client.timeouts	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SyncWaitTimeoutDelayTest.java: org.apache.qpid.test.client.timeouts	SyncWaitDelayTest.java: org.apache.qpid.test.client.timeouts	
LocalAMQPCircuitFactory.java: org.apache.qpid.test.framework	LocalCircuitFactory.java: org.apache.qpid.test.framework	
FrameworkBaseCase.java: org.apache.qpid.test.framework	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
OptOutTestCase.java: org.apache.qpid.test.framework.distributedtesting	FrameworkBaseCase.java: org.apache.qpid.test.framework	
LocalPublisherImpl.java: org.apache.qpid.test.framework.localcircuit	CircuitEndBase.java: org.apache.qpid.test.framework	
LocalAMQPPublisherImpl.java: org.apache.qpid.test.framework.localcircuit	LocalPublisherImpl.java: org.apache.qpid.test.framework.localcircuit	
LocalReceiverImpl.java: org.apache.qpid.test.framework.localcircuit	CircuitEndBase.java: org.apache.qpid.test.framework	
MandatoryMessageTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
FailoverTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
TTLTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
ImmediateMessageTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
RollbackTest.java: org.apache.qpid.test.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
AcknowledgeTest.java: org.apache.qpid.test.unit.ack	FailoverBaseCase.java: org.apache.qpid.test.utils	
AcknowledgeOnMessageTest.java: org.apache.qpid.test.unit.ack	AcknowledgeTest.java: org.apache.qpid.server.ack	
QuickAcking.java: org.apache.qpid.test.unit.ack	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AcknowledgeAfterFailoverOnMessageTest.java: org.apache.qpid.test.unit.ack	AcknowledgeOnMessageTest.java: org.apache.qpid.test.unit.ack	
Acknowledge2ConsumersTest.java: org.apache.qpid.test.unit.ack	FailoverBaseCase.java: org.apache.qpid.test.utils	
AcknowledgeAfterFailoverTest.java: org.apache.qpid.test.unit.ack	AcknowledgeTest.java: org.apache.qpid.server.ack	
RecoverTest.java: org.apache.qpid.test.unit.ack	FailoverBaseCase.java: org.apache.qpid.test.utils	
FailoverBeforeConsumingRecoverTest.java: org.apache.qpid.test.unit.ack	RecoverTest.java: org.apache.qpid.test.unit.ack	
MapMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
BytesMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PropertyValueTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
FieldTableMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ReceiveTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
LargeMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TextMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MultipleConnectionTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SessionStartTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ObjectMessageTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
InvalidDestinationTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
PubSubTwoConnectionTest.java: org.apache.qpid.test.unit.basic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
CloseTest.java: org.apache.qpid.test.unit.basic.close	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AMQSessionTest.java: org.apache.qpid.test.unit.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DynamicQueueExchangeCreateTest.java: org.apache.qpid.test.unit.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AMQConnectionTest.java: org.apache.qpid.test.unit.client	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
CloseWithBlockingReceiveTest.java: org.apache.qpid.test.unit.client.channelclose	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ChannelCloseTest.java: org.apache.qpid.test.unit.client.channelclose	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ChannelCloseOkTest.java: org.apache.qpid.test.unit.client.channelclose	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
CloseAfterConnectionFailureTest.java: org.apache.qpid.test.unit.client.connection	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ConnectionStartTest.java: org.apache.qpid.test.unit.client.connection	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ConnectionCloseTest.java: org.apache.qpid.test.unit.client.connection	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ExceptionListenerTest.java: org.apache.qpid.test.unit.client.connection	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ConnectionTest.java: org.apache.qpid.test.unit.client.connection	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
