getRandomID: JDBCBench.java: org.hsqldb.test Diff:143
clear: ExecHarness.java: org.hsqldb.test Diff:11
doesMaxRowSizeIncludeBlobs: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
addColumn: Table.java: org.hsqldb Diff:11
windowIconified: Transfer.java: org.hsqldb.util Diff:55
write: Node.java: org.hsqldb Diff:3
getDatabaseMinorVersion: Library.java: org.hsqldb Diff:29
toLowerSubset: StringUtil.java: org.hsqldb.lib Diff:5
getStatement: View.java: org.hsqldb Diff:14
clear: DatabaseManager.java: org.hsqldb.util Diff:61
dump: HsqlSocketFactorySecure.java: org.hsqldb Diff:2
parseTableFilter: Parser.java: org.hsqldb Diff:163
writeChar: RowOutputText.java: org.hsqldb.rowio Diff:8
appendCondition: CompiledStatement.java: org.hsqldb Diff:70
writeSequenceStatement: Log.java: org.hsqldb Diff:22
close: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:27
checkTableFileBased: Table.java: org.hsqldb Diff:1
getLeft: BaseMemoryNode.java: org.hsqldb Diff:1
readTimestamp: RowInputBinary.java: org.hsqldb.rowio Diff:26
getTable: Database.java: org.hsqldb Diff:15
setTable: DITableInfo.java: org.hsqldb Diff:84
writeSize: RowOutputBase.java: org.hsqldb.rowio Diff:1
getSize: RowOutputBinary.java: org.hsqldb.rowio Diff:11
getMainIndex: Constraint.java: org.hsqldb Diff:1
isAutoIncrement: jdbcResultSetMetaData.java: org.hsqldb.jdbc Diff:5
getDataSource: Table.java: org.hsqldb Diff:2
rehash: BaseHashMap.java: org.hsqldb.store Diff:4
readSmallint: RowInputText.java: org.hsqldb.rowio Diff:7
isBusy: TriggerDef.java: org.hsqldb Diff:44
hexToByte: StringConverter.java: org.hsqldb.lib Diff:3
createLabel: ConnectionDialog.java: org.hsqldb.util Diff:33
convertColumnValue: SqlServerTransferHelper.java: org.hsqldb.util Diff:9
bind: CompiledStatement.java: org.hsqldb Diff:1
toStringImpl: jdbcParameterMetaData.java: org.hsqldb.jdbc Diff:11
main: ExecHarness.java: org.hsqldb.test Diff:5
writeDataTerm: ScriptWriterBinary.java: org.hsqldb.scriptio Diff:25
isDescending: Expression.java: org.hsqldb Diff:164
searchColumn: Table.java: org.hsqldb Diff:31
fixupColumnDefWrite: TransferHelper.java: org.hsqldb.util Diff:11
reset: RowOutputBinary.java: org.hsqldb.rowio Diff:39
getInputParmCount: DIProcedureInfo.java: org.hsqldb Diff:5
writeRow: ScriptWriterBinary.java: org.hsqldb.scriptio Diff:4
addTransactionDelete: Session.java: org.hsqldb Diff:3
setUser: Session.java: org.hsqldb Diff:4
getIndexRootsArray: Table.java: org.hsqldb Diff:36
containsValue: HashMap.java: org.hsqldb.lib Diff:2
stop: Log.java: org.hsqldb Diff:7
setTypeCode: DITypeInfo.java: org.hsqldb Diff:45
recompileCheckConstraint: Table.java: org.hsqldb Diff:20
writeScript: Log.java: org.hsqldb Diff:34
checkNull: RowInputText.java: org.hsqldb.rowio Diff:9
getUpdateCount: Result.java: org.hsqldb Diff:24
getTableStructure: TransferDb.java: org.hsqldb.util Diff:110
needTransferTransaction: McKoiTransferHelper.java: org.hsqldb.util Diff:1
saveRow: Cache.java: org.hsqldb Diff:1
convertObject: Column.java: org.hsqldb Diff:77
logSequences: SequenceManager.java: org.hsqldb Diff:12
fireTableChanged: GridSwing.java: org.hsqldb.util Diff:2
writeOther: RowOutputTextLog.java: org.hsqldb.rowio Diff:39
reset: RowInputText.java: org.hsqldb.rowio Diff:21
setAutoCommit: HSQLClientConnection.java: org.hsqldb Diff:1
writeDeleteStatement: Logger.java: org.hsqldb Diff:5
trace: QueryTool.java: org.hsqldb.util Diff:15
itemStateChanged: ConnectionDialogSwing.java: org.hsqldb.util Diff:58
setTableColumnAttributes: Expression.java: org.hsqldb Diff:126
insertNoCheckRollback: Table.java: org.hsqldb Diff:43
renameColumn: Table.java: org.hsqldb Diff:119
addColumns: Table.java: org.hsqldb Diff:23
setByte: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:13
isCaseSensitive: Types.java: org.hsqldb Diff:11
saveAsCsv: DatabaseManager.java: org.hsqldb.util Diff:101
getIntervalPrecision: DITypeInfo.java: org.hsqldb Diff:3
processSpecial: SqlFile.java: org.hsqldb.util Diff:41
readConcat: Parser.java: org.hsqldb Diff:147
fixupColumnDefRead: TransferHelper.java: org.hsqldb.util Diff:11
containsKey: HashMap.java: org.hsqldb.lib Diff:2
removeRow: BaseHashMap.java: org.hsqldb.store Diff:4
SYSTEM_PROCEDURECOLUMNS: DatabaseInformationFull.java: org.hsqldb Diff:474
createToolBar: DatabaseManagerSwing.java: org.hsqldb.util Diff:131
checkFilesInJar: Logger.java: org.hsqldb Diff:7
getOrAddString: ValuePoolHashMap.java: org.hsqldb.store Diff:20
condlPrintln: SqlFile.java: org.hsqldb.util Diff:149
getSupportedTypes: TransferHelper.java: org.hsqldb.util Diff:11
isFromLeft: BaseMemoryNode.java: org.hsqldb Diff:4
init: DatabaseManager.java: org.hsqldb.util Diff:1
getCatalogName: Table.java: org.hsqldb Diff:123
isRoot: Node.java: org.hsqldb Diff:3
resetPool: ValuePool.java: org.hsqldb.store Diff:1
processAlterIndex: DatabaseCommandInterpreter.java: org.hsqldb Diff:316
writeIntData: RowOutputText.java: org.hsqldb.rowio Diff:11
dataDefinitionIgnoredInTransactions: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
readByteArray: RowInputBinary.java: org.hsqldb.rowio Diff:2
errprint: SqlFile.java: org.hsqldb.util Diff:112
getStatement: CompiledStatementManager.java: org.hsqldb Diff:12
defrag: DataFileDefrag.java: org.hsqldb Diff:18
readReal: RowInputBase.java: org.hsqldb.rowio Diff:2
getValue: Expression.java: org.hsqldb Diff:134
itemStateChanged: ConnectionDialog.java: org.hsqldb.util Diff:41
addIndex: Table.java: org.hsqldb Diff:50
free: DataFileCache.java: org.hsqldb Diff:35
writeRow: ScriptWriterBase.java: org.hsqldb.scriptio Diff:16
buildResult: Select.java: org.hsqldb Diff:33
getOrAddLong: ValuePoolHashMap.java: org.hsqldb.store Diff:12
getExitValue: ExecHarness.java: org.hsqldb.test Diff:9
getIndexRootsDDL: DatabaseScript.java: org.hsqldb Diff:131
init: Cache.java: org.hsqldb Diff:6
processExplainPlan: DatabaseCommandInterpreter.java: org.hsqldb Diff:607
getColumnName: GridSwing.java: org.hsqldb.util Diff:1
writeTableInit: ScriptWriterBase.java: org.hsqldb.scriptio Diff:8
getColumnClass: GridSwing.java: org.hsqldb.util Diff:1
getIndexType: DITableInfo.java: org.hsqldb Diff:72
readLine: InOutUtil.java: org.hsqldb.lib Diff:3
toString: Select.java: org.hsqldb Diff:115
setRight: BaseMemoryNode.java: org.hsqldb Diff:4
getRow: GroupedResult.java: org.hsqldb Diff:3
readDDL: ScriptReaderText.java: org.hsqldb.scriptio Diff:2
printProperties: Server.java: org.hsqldb Diff:32
supportsFullOuterJoins: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
getColumn: Table.java: org.hsqldb Diff:119
resolveAll: Select.java: org.hsqldb Diff:70
testPerformance: DatabaseManager.java: org.hsqldb.util Diff:93
findFirst: Index.java: org.hsqldb Diff:45
drop: TextTable.java: org.hsqldb Diff:13
findOrCreateHsqlName: DINameSpace.java: org.hsqldb Diff:8
openFile: ScriptReaderText.java: org.hsqldb.scriptio Diff:7
getTypeName: DITypeInfo.java: org.hsqldb Diff:44
windowClosed: DatabaseManager.java: org.hsqldb.util Diff:60
ensureRoom: RowOutputBinary.java: org.hsqldb.rowio Diff:39
write: CachedDataRow.java: org.hsqldb Diff:7
setPrimaryNode: CachedDataRow.java: org.hsqldb Diff:4
collectInGroupByExpressions: Expression.java: org.hsqldb Diff:164
supportsSchemasInIndexDefinitions: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
doAssert: TriggerSample.java: org.hsqldb.sample Diff:7
nextSCN: Database.java: org.hsqldb Diff:93
initGUI: QueryTool.java: org.hsqldb.util Diff:68
readDefaultClause: Parser.java: org.hsqldb Diff:119
needTransferTransaction: TransferHelper.java: org.hsqldb.util Diff:11
iterator: Result.java: org.hsqldb Diff:24
findNot: ArrayUtil.java: org.hsqldb.lib Diff:1
writeToLog: Logger.java: org.hsqldb Diff:7
delimitedArgPairsToProps: HsqlProperties.java: org.hsqldb Diff:14
reopen: TextCache.java: org.hsqldb Diff:46
setLeft: Node.java: org.hsqldb Diff:2
SYSTEM_BESTROWIDENTIFIER: DatabaseInformationMain.java: org.hsqldb Diff:13
close: ScriptReaderText.java: org.hsqldb.scriptio Diff:6
parseBetweenPredicate: Parser.java: org.hsqldb Diff:152
newSession: DatabaseManager.java: org.hsqldb Diff:12
reset: BaseHashMap.java: org.hsqldb.store Diff:8
createSequence: SequenceManager.java: org.hsqldb Diff:7
isGetThis: Tokenizer.java: org.hsqldb Diff:6
getColumnSize: Expression.java: org.hsqldb Diff:142
saveAll: Cache.java: org.hsqldb Diff:1
releaseSavepoint: Session.java: org.hsqldb Diff:23
resetRow: RowInputBinary.java: org.hsqldb.rowio Diff:28
windowClosing: DatabaseManager.java: org.hsqldb.util Diff:61
toString: HsqlArrayHeap.java: org.hsqldb.lib Diff:8
check: User.java: org.hsqldb Diff:7
getResultMain: Select.java: org.hsqldb Diff:4
openConnection: HSQLClientConnection.java: org.hsqldb Diff:4
writeTimestamp: RowOutputBase.java: org.hsqldb.rowio Diff:1
readBigint: RowInputText.java: org.hsqldb.rowio Diff:9
tableForIndex: DINameSpace.java: org.hsqldb Diff:33
beginNestedTransaction: Session.java: org.hsqldb Diff:25
getConstraintIndex: ZaurusTableForm.java: org.hsqldb.util Diff:85
getExitValue: ExecHarness.java: org.hsqldb.test Diff:9
checkColumnInCheckConstraint: Table.java: org.hsqldb Diff:21
error: Trace.java: org.hsqldb Diff:12
getResult: Select.java: org.hsqldb Diff:6
getTypeName: Types.java: org.hsqldb Diff:11
checkFKColumnDefaults: DatabaseCommandInterpreter.java: org.hsqldb Diff:488
isNull: Index.java: org.hsqldb Diff:43
doWriteData: CSVWriter.java: org.hsqldb.util Diff:1
getHsqlType: DITableInfo.java: org.hsqldb Diff:69
deleteRow: ZaurusTableForm.java: org.hsqldb.util Diff:5
setNull: Expression.java: org.hsqldb Diff:196
getNormalisedTime: HsqlDateTime.java: org.hsqldb Diff:1
convertString: Column.java: org.hsqldb Diff:86
createStatement: jdbcConnection.java: org.hsqldb.jdbc Diff:1
toString: TableFilter.java: org.hsqldb Diff:51
padOrTrunc: Table.java: org.hsqldb Diff:41
getTables: Database.java: org.hsqldb Diff:13
getCombinedNumberType: Column.java: org.hsqldb Diff:101
writeDeleteStatement: Log.java: org.hsqldb Diff:21
getGrantedClassNames: Session.java: org.hsqldb Diff:24
getMaxCatalogNameLength: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
getBytes: RowOutputText.java: org.hsqldb.rowio Diff:5
canBeInAggregate: Expression.java: org.hsqldb Diff:171
deleteNoCheck: Table.java: org.hsqldb Diff:113
writeSessionId: ScriptWriterBase.java: org.hsqldb.scriptio Diff:16
processCreateTable: DatabaseCommandInterpreter.java: org.hsqldb Diff:220
updateConstraintsTables: Table.java: org.hsqldb Diff:14
fireAll: Table.java: org.hsqldb Diff:45
setName: Constraint.java: org.hsqldb Diff:1
checkHeartbeat: LockFile.java: org.hsqldb Diff:1
setSchema: TransferHelper.java: org.hsqldb.util Diff:1
insert: Table.java: org.hsqldb Diff:38
registerStatement: CompiledStatementManager.java: org.hsqldb Diff:21
isValid: NIOLockFile.java: org.hsqldb Diff:12
convertObject: Column.java: org.hsqldb Diff:21
SYSTEM_PROCEDURES: DatabaseInformationMain.java: org.hsqldb Diff:39
SYSTEM_TABLES: DatabaseInformationMain.java: org.hsqldb Diff:53
exists: UserManager.java: org.hsqldb Diff:15
indexToRight: TriggerDef.java: org.hsqldb Diff:34
sqlExecuteCompiledNoPreChecks: Session.java: org.hsqldb Diff:33
init: ServerConnection.java: org.hsqldb Diff:12
checkNull: RowInputBase.java: org.hsqldb.rowio Diff:2
addMenu: DatabaseManager.java: org.hsqldb.util Diff:10
getNewRow: Table.java: org.hsqldb Diff:52
readDate: RowInputBase.java: org.hsqldb.rowio Diff:2
writeReal: RowOutputText.java: org.hsqldb.rowio Diff:8
sqlFreeStatement: Session.java: org.hsqldb Diff:52
execute: DatabaseManagerSwing.java: org.hsqldb.util Diff:59
initBuffers: TextCache.java: org.hsqldb Diff:23
writeBinary: RowOutputTextLog.java: org.hsqldb.rowio Diff:20
writeBinary: RowOutputBinary.java: org.hsqldb.rowio Diff:30
processReleaseSavepoint: DatabaseCommandInterpreter.java: org.hsqldb Diff:639
processCreateUser: DatabaseCommandInterpreter.java: org.hsqldb Diff:556
ProcessNextStep: Transfer.java: org.hsqldb.util Diff:51
writeDate: RowOutputBase.java: org.hsqldb.rowio Diff:1
createConnection: ConnectionDialog.java: org.hsqldb.util Diff:1
setResultType: Result.java: org.hsqldb Diff:24
readLoggedStatement: ScriptReaderBinary.java: org.hsqldb.scriptio Diff:3
getSessionManager: Database.java: org.hsqldb Diff:30
getUserManager: Database.java: org.hsqldb Diff:13
SYSTEM_VIEW_ROUTINE_USAGE: DatabaseInformationFull.java: org.hsqldb Diff:718
windowClosed: QueryTool.java: org.hsqldb.util Diff:59
getColumnAliases: Select.java: org.hsqldb Diff:2
compareRowNonUnique: Index.java: org.hsqldb Diff:73
writeSize: RowOutputBinary.java: org.hsqldb.rowio Diff:5
executeInsertSelectStatement: CompiledStatementExecutor.java: org.hsqldb Diff:16
open: DataFileCache.java: org.hsqldb Diff:12
getBRIScope: DITableInfo.java: org.hsqldb Diff:6
beginDataTransfer: OracleTransferHelper.java: org.hsqldb.util Diff:15
SYSTEM_UDTATTRIBUTES: DatabaseInformationFull.java: org.hsqldb Diff:404
getCache: Log.java: org.hsqldb Diff:6
parseOrderBy: Parser.java: org.hsqldb Diff:102
get: IntKeyIntValueHashMap.java: org.hsqldb.lib Diff:2
freeStatement: CompiledStatementManager.java: org.hsqldb Diff:31
findUserTableForIndex: Database.java: org.hsqldb Diff:22
getForEachSpec: TriggerSample.java: org.hsqldb.sample Diff:13
resetFreePos: DataFileCache.java: org.hsqldb Diff:54
pop: ExecHarness.java: org.hsqldb.test Diff:12
isAccessible: User.java: org.hsqldb Diff:7
reopenAllTextCaches: Log.java: org.hsqldb Diff:46
compareValues: Expression.java: org.hsqldb Diff:125
transfer: Transfer.java: org.hsqldb.util Diff:77
setTimestamp: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:2
setTime: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:3
processSet: DatabaseCommandInterpreter.java: org.hsqldb Diff:426
writeTimestamp: RowOutputText.java: org.hsqldb.rowio Diff:8
supportsPositionedUpdate: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
getMaxHeight: Tree.java: org.hsqldb.util Diff:4
checkTableIsInView: Database.java: org.hsqldb Diff:60
getMaxColumnsInTable: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
createPrimaryKey: Table.java: org.hsqldb Diff:39
SYSTEM_CACHEINFO: DatabaseInformationFull.java: org.hsqldb Diff:54
get: Token.java: org.hsqldb Diff:60
windowClosed: DatabaseManagerSwing.java: org.hsqldb.util Diff:57
dropConstraint: TableWorks.java: org.hsqldb Diff:110
resolveTypes: Expression.java: org.hsqldb Diff:133
getColDataTypeName: DITableInfo.java: org.hsqldb Diff:27
getRemark: DIProcedureInfo.java: org.hsqldb Diff:7
getSize: RowOutputText.java: org.hsqldb.rowio Diff:9
getWhenSpec: TriggerSample.java: org.hsqldb.sample Diff:13
getBigint: Tokenizer.java: org.hsqldb Diff:3
SYSTEM_TABLEPRIVILEGES: DatabaseInformationMain.java: org.hsqldb Diff:54
getUpdatedRow: CachedDataRow.java: org.hsqldb Diff:1
getColPrecRadix: DITableInfo.java: org.hsqldb Diff:48
getAsciiStream: jdbcClob.java: org.hsqldb.jdbc Diff:1
finishStream: ScriptWriterBase.java: org.hsqldb.scriptio Diff:3
setSystemVariables: HsqlDatabaseProperties.java: org.hsqldb Diff:3
getMeta: TransferDb.java: org.hsqldb.util Diff:111
clearPool: ValuePool.java: org.hsqldb.store Diff:1
shutdownAfterCurrent: HsqlTaskQueue.java: org.hsqldb.lib Diff:4
add: HashSet.java: org.hsqldb.lib Diff:4
prepareSort: Select.java: org.hsqldb Diff:9
checkResolved: Function.java: org.hsqldb Diff:12
setRight: DiskNode.java: org.hsqldb Diff:4
translateSep: TextCache.java: org.hsqldb Diff:39
getWebRoot: WebServer.java: org.hsqldb Diff:17
verify: HsqlSocketFactorySecure.java: org.hsqldb Diff:6
canBeInGroupBy: Expression.java: org.hsqldb Diff:183
add: HashMappedList.java: org.hsqldb.lib Diff:2
SYSTEM_UDTS: DatabaseInformationFull.java: org.hsqldb Diff:414
withoutDefnSchema: DINameSpace.java: org.hsqldb Diff:35
writeString: RowOutputText.java: org.hsqldb.rowio Diff:7
cacheClear: DatabaseInformationMain.java: org.hsqldb Diff:1
getParameters: Parser.java: org.hsqldb Diff:130
close: TransferSQLText.java: org.hsqldb.util Diff:12
closeDatabases: DatabaseManager.java: org.hsqldb Diff:10
checkColumnsMatch: Table.java: org.hsqldb Diff:23
getMimeTypeString: WebServerConnection.java: org.hsqldb Diff:5
getTableIndex: Database.java: org.hsqldb Diff:24
writeBigint: RowOutputBase.java: org.hsqldb.rowio Diff:1
check: Session.java: org.hsqldb Diff:2
setFilePos: Cache.java: org.hsqldb Diff:5
SYSTEM_VIEW_TABLE_USAGE: DatabaseInformationFull.java: org.hsqldb Diff:642
shutdown: Log.java: org.hsqldb Diff:22
getParameterData: Result.java: org.hsqldb Diff:24
hasColumn: View.java: org.hsqldb Diff:23
error: Trace.java: org.hsqldb Diff:9
main: TriggerSample.java: org.hsqldb.sample Diff:54
revoke: UserManager.java: org.hsqldb Diff:13
resetRow: RowInputBinary.java: org.hsqldb.rowio Diff:26
keyReleased: DatabaseManager.java: org.hsqldb.util Diff:12
prepareResult: Select.java: org.hsqldb Diff:6
getCreateUserDDL: User.java: org.hsqldb Diff:46
getDatabaseProductName: Library.java: org.hsqldb Diff:29
setTrue: Expression.java: org.hsqldb Diff:196
createDatabase: JDBCBench.java: org.hsqldb.test Diff:143
getStdMapClsName: DITypeInfo.java: org.hsqldb Diff:46
displayTable: Transfer.java: org.hsqldb.util Diff:44
incrementTransactionCount: JDBCBench.java: org.hsqldb.test Diff:54
translateDefaultNoSystemExitProperty: ServerConfiguration.java: org.hsqldb Diff:31
convertFromType: InformixTransferHelper.java: org.hsqldb.util Diff:2
clearParameters: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:11
hexToByteArray: Column.java: org.hsqldb Diff:103
clearAllRows: Table.java: org.hsqldb Diff:119
getScript: DatabaseScript.java: org.hsqldb Diff:118
setLoginTimeout: jdbcDataSource.java: org.hsqldb.jdbc Diff:2
htmlRow: SqlFile.java: org.hsqldb.util Diff:118
checkAggregateOrGroupByColumns: Select.java: org.hsqldb Diff:11
setDirty: DatabaseInformation.java: org.hsqldb Diff:3
truncate: jdbcBlob.java: org.hsqldb.jdbc Diff:2
getTimeInMillis: HsqlDateTime.java: org.hsqldb Diff:8
createIndexStructure: Table.java: org.hsqldb Diff:48
readRow: ScriptReaderBinary.java: org.hsqldb.scriptio Diff:13
checkTables: Function.java: org.hsqldb Diff:12
supportsUnion: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
getFKAction: DatabaseScript.java: org.hsqldb Diff:274
getMainString: Result.java: org.hsqldb Diff:24
getInt: ValuePool.java: org.hsqldb.store Diff:2
rollbackToSavepoint: Session.java: org.hsqldb Diff:18
wasNull: jdbcCallableStatement.java: org.hsqldb.jdbc Diff:5
getTimestamp: jdbcCallableStatement.java: org.hsqldb.jdbc Diff:5
getColDefault: DITableInfo.java: org.hsqldb Diff:32
getIndex: Table.java: org.hsqldb Diff:119
getMetaData: jdbcConnection.java: org.hsqldb.jdbc Diff:4
createConnection: ConnectionDialogSwing.java: org.hsqldb.util Diff:53
getTimestampString: HsqlDateTime.java: org.hsqldb Diff:7
registerOutParameter: jdbcCallableStatement.java: org.hsqldb.jdbc Diff:4
check: Trace.java: org.hsqldb Diff:20
getIndexCount: Table.java: org.hsqldb Diff:32
SYSTEM_CLASSPRIVILEGES: DatabaseInformationFull.java: org.hsqldb Diff:87
multiply: Column.java: org.hsqldb Diff:10
setClob: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:13
setLeftExpression: Expression.java: org.hsqldb Diff:135
writeSmallint: RowOutputBinary.java: org.hsqldb.rowio Diff:17
read: Result.java: org.hsqldb Diff:24
writeStatement: Log.java: org.hsqldb Diff:17
translateDefaultDatabaseProperty: ServerConfiguration.java: org.hsqldb Diff:30
processGrantOrRevoke: DatabaseCommandInterpreter.java: org.hsqldb Diff:338
setNull: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:15
findUserSchemaTable: DINameSpace.java: org.hsqldb Diff:12
getLiteralSuffix: DITypeInfo.java: org.hsqldb Diff:3
